axisValue,mean,errorLower,errorUpper
0.1,0.0192307692307692,0.0159142132247135,0.0428351943754958
0.866666666666667,0.671052631578947,0.0625642407019263,0.0575568477405773
1.63333333333333,0.848101265822785,0.051580259156436,0.0414724462138024
2.4,0.203125,0.0524176510099857,0.0630243422875154
3.16666666666667,0.145161290322581,0.0458560510123067,0.0592169759318248
3.93333333333333,0.819672131147541,0.0631018775288271,0.051010661570396
4.7,0.721311475409836,0.0691693160357582,0.0609672579560986
5.46666666666667,0.183333333333333,0.0518148324947232,0.0639928874218345
6.23333333333333,0.4625,0.0610515835344744,0.0620856996775815
7,0.82089552238806,0.0594957168241771,0.0485017526599331
1.429,0.905882352941176,0.0431377633344374,0.0319058268447496
7.778,0.448979591836735,0.0791535834801215,0.0815028078207311
8.55575,0.208333333333333,0.0613424588421534,0.0754521928098092
9.3335,0.733333333333333,0.0692974297451899,0.0604830195995099
10.11125,0.63265306122449,0.0812581347493194,0.0751259896470131
10.889,0.12,0.0465511336451783,0.064795201773365
11.66675,0.462962962962963,0.0755439623687965,0.0770837820815901
12.4445,0.722222222222222,0.0742416268592793,0.0648780085844133
13.22225,0.63265306122449,0.0812581347493194,0.0751259896470131
14,0.340425531914894,0.0749813507864501,0.082705489010849
15.4,0.611111111111111,0.0971993157424464,0.0901066579109437
16.1,0.333333333333333,0.106108836776925,0.122519320892384
16.8,0.393939393939394,0.0947809744183064,0.102198644864505
17.5,0.482758620689655,0.107140522628054,0.108517536390102
18.2,0.447058823529412,0.0587403150997932,0.0601112945046819
18.9,0.449438202247191,0.0573646755298295,0.0586127831051997
19.6,0.344444444444444,0.05341747309711,0.0572299543947054
20.3,0.359550561797753,0.05441110814829,0.0578902797456747
21,0.495145631067961,0.0537809943107466,0.0538838928191928
