tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.25002176806180365,0.24997686486545317,0.24997686486545317,0.24999550852581165
0.000101,0.013328892508256081,7.182432862179917e-7,7.182432862176065e-7,0.9861127853734073
0.000201,0.05310366442677126,2.923666625981014e-6,2.9236666259810594e-6,0.945797393617739
0.000301,0.11711460472413951,6.466937154100681e-6,6.466937154098476e-6,0.8812379782276163
0.000401,0.20183744559396147,1.1173617028155259e-5,1.1173617028150021e-5,0.7959849499191982
0.000501,0.30262072887154445,1.6796206914812568e-5,1.6796206914808566e-5,0.6946691437766338
0.000601,0.41394981216844445,2.3020465714597854e-5,2.3020465714594415e-5,0.5828225403277032
0.000701,0.5297433485593096,2.9466368820454794e-5,2.9466368820454607e-5,0.46652637872510727
0.000801,0.6436741551851092,3.5803919120854596e-5,3.580391912085716e-5,0.35209197902184713
0.000901,0.7495345589431135,4.170946427571304e-5,4.170946427571522e-5,0.24573392702198632
0.001001,0.8415632179850865,4.683585899002931e-5,4.683585899003959e-5,0.1532156314367017
0.001101,0.9147657303288761,5.0887090917350284e-5,5.088709091735572e-5,0.07953954432755626
0.001201,0.9651543506808856,5.3674666802478374e-5,5.367466680249207e-5,0.02867418929711902
0.001301,0.990023467297012,5.5070972448746365e-5,5.5070972448764295e-5,0.0033453959245018836
0.001401,0.9880237817246493,5.498117885066991e-5,5.4981178850696176e-5,0.004884856267634574
0.001501,0.9592908533313309,5.340219640623941e-5,5.340219640626156e-5,0.03316077030904893
0.001601,0.9054242830861258,5.0445124380267874e-5,5.04451243802696e-5,0.08658751240840415
0.001701,0.8293534620700717,4.629133145271086e-5,4.629133145270479e-5,0.16221114764355005
0.001801,0.7352460538742464,4.114103047756508e-5,4.114103047754172e-5,0.2558761919096975
0.001901,0.6282347587561601,3.525940911531114e-5,3.525940911527674e-5,0.36245225144572474
0.002001,0.5141425976418013,2.8991603980035728e-5,2.8991603980003032e-5,0.4761113866702271
0.002101,0.39917403452298217,2.2686905329473816e-5,2.268690532944097e-5,0.5906493319110886
0.002201,0.2895728399333223,1.6656561497728234e-5,1.6656561497701858e-5,0.6998235820111625
0.002301,0.19128054648593085,1.121534457439675e-5,1.1215344574371784e-5,0.7976882852506015
0.002401,0.10961607154628056,6.683789406161954e-6,6.68378940614699e-6,0.878916823745225
0.002501,0.04898820978038538,3.3124589544457863e-6,3.312458954438472e-6,0.9391058720922203
0.002601,0.012653019017991464,1.253308606500146e-6,1.2533086064976524e-6,0.9750110180717608
0.002701,0.0025394206616739,6.104600838521065e-7,6.104600838519429e-7,0.9846894101209962
0.002801,0.01914729005800908,1.4497867435530214e-6,1.4497867435513858e-6,0.9676322705396408
0.002901,0.06152091205981774,3.734887128801134e-6,3.73488712879533e-6,0.9248140185570697
0.003001,0.1273041673345326,7.314620745408939e-6,7.314620745398906e-6,0.8585896469887413
0.003101,0.21286800846659212,1.1988499733943645e-5,1.198849973392203e-5,0.7725733839874387
0.003201,0.31351554829778583,1.7527899170366216e-5,1.7527899170335943e-5,0.6714738335924535
0.003301,0.4237393379563196,2.3635317732783927e-5,2.3635317732753136e-5,0.560806696024351
0.003401,0.5375101337472921,2.9951867619372073e-5,2.995186761934681e-5,0.4465848651171911
0.003501,0.648624681764308,3.6126872683377953e-5,3.612687268335914e-5,0.335021146061387
0.003601,0.7510367381129243,4.184117947004687e-5,4.184117947004626e-5,0.232168552455964
0.003701,0.8391743397616604,4.677886526184198e-5,4.6778865261858865e-5,0.14359180448547923
0.003801,0.9082564873379054,5.064592476775759e-5,5.064592476778105e-5,0.07407299940866267
0.003901,0.9545538623228383,5.323076933021849e-5,5.323076933025388e-5,0.02734935409182523
0.004001,0.9755693915108395,5.441177395760428e-5,5.441177395764225e-5,0.005911406850518453
0.004101,0.9701803926487459,5.412821050328544e-5,5.412821050331717e-5,0.010871856051317191
0.004201,0.938733841401904,5.2378629574470186e-5,5.237862957448617e-5,0.04190664256304121
