groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.00278558993486387
1,1,nacs_highfield1_detunedARP_b_back,1,0,0,0.00278558993486387
1,2,nacs_uWave_tau,5e-06,0,0,0.00278981102846906
1,2,nacs_uWave_tau,0.00075,0.0257966616084977,0.00614836941063702,0.00776311368149159
1,2,nacs_uWave_tau,0.0015,0.00606060606060606,0.00289836199689985,0.00476615034205455
1,2,nacs_uWave_tau,0.003,0.0121396054628225,0.00419025891498418,0.00593239000147883
1,2,nacs_uWave_tau,0.003375,0.0227617602427921,0.00577431648654596,0.00741056394039619
1,2,nacs_uWave_tau,0.00375,0.00454545454545455,0.00247283352687642,0.00440176692695222
1,2,nacs_uWave_tau,0.004125,0.0121212121212121,0.00418392630025263,0.00592348370513354
1,2,nacs_uWave_tau,0.0045,0.0197268588770865,0.00537217955888407,0.00703258095510894
