value,00,01,10,11,trials
0.05,5,26,17,1,49
0.275,6,43,8,2,59
0.5,5,35,15,1,56
0.725,5,19,24,2,50
0.95,4,11,41,3,59
1.175,1,16,29,1,47
1.4,3,33,18,0,54
