axisValue,mean,errorLower,errorUpper
72.2,0.0649350649350649,0.027763281402565,0.0415411584511723
73.8,0.0714285714285714,0.0305073345047485,0.0454329077110823
75.4,0.0606060606060606,0.0287811992498641,0.0453308885806279
77,0.142857142857143,0.0451549565814255,0.0583888212070342
78.6,0.142857142857143,0.0428441362062057,0.0546753961579083
80.2,0.227848101265823,0.0493464376078901,0.0570954231908189
81.8,0.402777777777778,0.0627580411862028,0.0657556085413352
83.4,0.27536231884058,0.0569301085181859,0.0642481680357156
85,0.369565217391304,0.0538788263312871,0.0569984397432759
86.6,0.507042253521127,0.065967658513502,0.0657477868461921
88.2,0.463768115942029,0.0661587042441985,0.0673244841211206
89.8,0.518987341772152,0.0623721773046627,0.0618417788759996
91.4,0.352941176470588,0.0623819054133755,0.0672088545362788
93,0.26984126984127,0.0592359001822649,0.0674917398246032
94.6,0.285714285714286,0.0544971385873283,0.0607117007612105
96.2,0.211111111111111,0.0447502546291817,0.0519464880035506
97.8,0.197183098591549,0.0490945564788711,0.0588050865563821
99.4,0.158730158730159,0.0473986876495274,0.0599636480692934
101,0.0823529411764706,0.029871369099051,0.0415395746708177
102.6,0.17910447761194,0.0485017526599333,0.0594957168241768
104.2,0.0909090909090909,0.0354656879443538,0.0503527450242187
