value,0,1,trials
72.2,5,72,77
73.8,5,65,70
75.4,4,62,66
77,9,54,63
78.6,10,60,70
80.2,18,61,79
81.8,29,43,72
83.4,19,50,69
85,34,58,92
86.6,36,35,71
88.2,32,37,69
89.8,41,38,79
91.4,24,44,68
93,17,46,63
94.6,22,55,77
96.2,19,71,90
97.8,14,57,71
99.4,10,53,63
101,7,78,85
102.6,12,55,67
104.2,6,60,66
