value,00,01,10,11,trials
0.05,0,0,0,0,0
0.275,0,1,0,0,1
0.5,0,2,0,0,2
0.725,0,0,0,0,0
0.95,0,0,1,0,1
1.175,0,0,0,0,0
1.4,0,0,1,1,2
