0.	0.	0.	3.	3.	3.	3.	3.	3.	3.
0.	0.	0.	-3.	-2.	-1.	0.	1.	2.	3.
0.	0.	3.	0.	0.	0.	-1.	0.	0.	0.
0.	1.	2.	0.	0.	-2.449489742783178	0.	0.	0.	0.
1.	0.	2.	0.	0.	0.	0.	-2.449489742783178	0.	0.
0.	2.	1.	0.	0.	0.	1.5	0.	1.9364916731037085	0.
1.	1.	1.	0.	-3.872983346207417	0.	0.	0.	0.	0.
2.	0.	1.	0.	0.	0.	1.5	0.	-1.9364916731037085	0.
0.	3.	0.	0.7905694150420949	0.	0.6123724356957945	0.	0.	0.	0.
1.	2.	0.	0.	0.	0.	0.	0.6123724356957945	0.	2.3717082451262845
2.	1.	0.	-2.3717082451262845	0.	0.6123724356957945	0.	0.	0.	0.
3.	0.	0.	0.	0.	0.	0.	0.6123724356957945	0.	-0.7905694150420949
