0.	0.	0.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.	8.
0.	0.	0.	-8.	-7.	-6.	-5.	-4.	-3.	-2.	-1.	0.	1.	2.	3.	4.	5.	6.	7.	8.
0.	0.	8.	0.	0.	0.	0.	0.	0.	0.	0.	-1.	0.	0.	0.	0.	0.	0.	0.	0.
0.	1.	7.	0.	0.	0.	0.	0.	0.	0.	-6.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	0.	7.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-6.	0.	0.	0.	0.	0.	0.	0.
0.	2.	6.	0.	0.	0.	0.	0.	0.	0.	0.	14.	0.	12.549900398011133	0.	0.	0.	0.	0.	0.
1.	1.	6.	0.	0.	0.	0.	0.	0.	-25.099800796022265	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2.	0.	6.	0.	0.	0.	0.	0.	0.	0.	0.	14.	0.	-12.549900398011133	0.	0.	0.	0.	0.	0.
0.	3.	5.	0.	0.	0.	0.	0.	16.99264546796643	0.	31.5	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	2.	5.	0.	0.	0.	0.	0.	0.	0.	0.	0.	31.5	0.	50.97793640389929	0.	0.	0.	0.	0.
2.	1.	5.	0.	0.	0.	0.	0.	-50.97793640389929	0.	31.5	0.	0.	0.	0.	0.	0.	0.	0.	0.
3.	0.	5.	0.	0.	0.	0.	0.	0.	0.	0.	0.	31.5	0.	-16.99264546796643	0.	0.	0.	0.	0.
0.	4.	4.	0.	0.	0.	0.	0.	0.	0.	0.	-26.25	0.	-31.374750995027835	0.	-16.45305822636023	0.	0.	0.	0.
1.	3.	4.	0.	0.	0.	0.	65.81223290544092	0.	62.74950199005567	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2.	2.	4.	0.	0.	0.	0.	0.	0.	0.	0.	-52.5	0.	0.	0.	98.71834935816138	0.	0.	0.	0.
3.	1.	4.	0.	0.	0.	0.	-65.81223290544092	0.	62.74950199005567	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
4.	0.	4.	0.	0.	0.	0.	0.	0.	0.	0.	-26.25	0.	31.374750995027835	0.	-16.45305822636023	0.	0.	0.	0.
0.	5.	3.	0.	0.	0.	-11.864469014667282	0.	-21.240806834958036	0.	-26.25	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	4.	3.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-26.25	0.	-63.72242050487411	0.	-59.32234507333641	0.	0.	0.
2.	3.	3.	0.	0.	0.	118.64469014667281	0.	42.48161366991607	0.	-52.5	0.	0.	0.	0.	0.	0.	0.	0.	0.
3.	2.	3.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-52.5	0.	-42.48161366991607	0.	118.64469014667281	0.	0.	0.
4.	1.	3.	0.	0.	0.	-59.32234507333641	0.	63.72242050487411	0.	-26.25	0.	0.	0.	0.	0.	0.	0.	0.	0.
5.	0.	3.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-26.25	0.	21.240806834958036	0.	-11.864469014667282	0.	0.	0.
0.	6.	2.	0.	0.	0.	0.	0.	0.	0.	0.	8.75	0.	11.765531623135438	0.	9.871834935816137	0.	6.407545600696104	0.	0.
1.	5.	2.	0.	0.	-38.44527360417663	0.	-39.48733974326455	0.	-23.531063246270875	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2.	4.	2.	0.	0.	0.	0.	0.	0.	0.	0.	26.25	0.	11.765531623135438	0.	-49.35917467908069	0.	-96.11318401044157	0.	0.
3.	3.	2.	0.	0.	128.1509120139221	0.	0.	0.	-47.06212649254175	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
4.	2.	2.	0.	0.	0.	0.	0.	0.	0.	0.	26.25	0.	-11.765531623135438	0.	-49.35917467908069	0.	96.11318401044157	0.	0.
5.	1.	2.	0.	0.	-38.44527360417663	0.	39.48733974326455	0.	-23.531063246270875	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
6.	0.	2.	0.	0.	0.	0.	0.	0.	0.	0.	8.75	0.	-11.765531623135438	0.	9.871834935816137	0.	-6.407545600696104	0.	0.
0.	7.	1.	0.	2.506826616960176	0.	2.9661172536668206	0.	3.1861210252437058	0.	3.28125	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	6.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.28125	0.	9.558363075731117	0.	14.830586268334102	0.	17.547786318721233	0.
2.	5.	1.	0.	-52.643358956163695	0.	-26.695055283001384	0.	-3.1861210252437058	0.	9.84375	0.	0.	0.	0.	0.	0.	0.	0.	0.
3.	4.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	9.84375	0.	15.930605126218527	0.	-14.830586268334102	0.	-87.73893159360615	0.
4.	3.	1.	0.	87.73893159360615	0.	-14.830586268334102	0.	-15.930605126218527	0.	9.84375	0.	0.	0.	0.	0.	0.	0.	0.	0.
5.	2.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	9.84375	0.	3.1861210252437058	0.	-26.695055283001384	0.	52.643358956163695	0.
6.	1.	1.	0.	-17.547786318721233	0.	14.830586268334102	0.	-9.558363075731117	0.	3.28125	0.	0.	0.	0.	0.	0.	0.	0.	0.
7.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.28125	0.	-3.1861210252437058	0.	2.9661172536668206	0.	-2.506826616960176	0.
0.	8.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-0.2734375	0.	-0.3921843874378479	0.	-0.4113264556590057	0.	-0.4576818286211503	0.	-0.626706654240044
1.	7.	0.	5.013653233920352	0.	2.7460909717269018	0.	1.6453058226360229	0.	0.7843687748756958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2.	6.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-1.09375	0.	-0.7843687748756958	0.	1.6453058226360229	0.	6.407545600696104	0.	17.547786318721233
3.	5.	0.	-35.095572637442466	0.	-6.407545600696104	0.	1.6453058226360229	0.	2.3531063246270874	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
4.	4.	0.	0.	0.	0.	0.	0.	0.	0.	0.	-1.640625	0.	0.	0.	4.113264556590058	0.	0.	0.	-43.86946579680308
5.	3.	0.	35.095572637442466	0.	-6.407545600696104	0.	-1.6453058226360229	0.	2.3531063246270874	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
