0.	0.	0.	6.	6.	6.	6.	6.	6.	6.	6.	6.	6.	6.	6.	6.
0.	0.	0.	-6.	-5.	-4.	-3.	-2.	-1.	0.	1.	2.	3.	4.	5.	6.
0.	0.	6.	0.	0.	0.	0.	0.	0.	-1.	0.	0.	0.	0.	0.	0.
0.	1.	5.	0.	0.	0.	0.	0.	-4.58257569495584	0.	0.	0.	0.	0.	0.	0.
1.	0.	5.	0.	0.	0.	0.	0.	0.	0.	-4.58257569495584	0.	0.	0.	0.	0.
0.	2.	4.	0.	0.	0.	0.	0.	0.	7.5	0.	7.245688373094719	0.	0.	0.	0.
1.	1.	4.	0.	0.	0.	0.	-14.491376746189438	0.	0.	0.	0.	0.	0.	0.	0.
2.	0.	4.	0.	0.	0.	0.	0.	0.	7.5	0.	-7.245688373094719	0.	0.	0.	0.
0.	3.	3.	0.	0.	0.	7.245688373094719	0.	11.4564392373896	0.	0.	0.	0.	0.	0.	0.
1.	2.	3.	0.	0.	0.	0.	0.	0.	0.	11.4564392373896	0.	21.737065119284157	0.	0.	0.
2.	1.	3.	0.	0.	0.	-21.737065119284157	0.	11.4564392373896	0.	0.	0.	0.	0.	0.	0.
3.	0.	3.	0.	0.	0.	0.	0.	0.	0.	11.4564392373896	0.	-7.245688373094719	0.	0.	0.
0.	4.	2.	0.	0.	0.	0.	0.	0.	-5.625	0.	-7.245688373094719	0.	-4.960783708246107	0.	0.
1.	3.	2.	0.	0.	19.84313483298443	0.	14.491376746189438	0.	0.	0.	0.	0.	0.	0.	0.
2.	2.	2.	0.	0.	0.	0.	0.	0.	-11.25	0.	0.	0.	29.764702249476645	0.	0.
3.	1.	2.	0.	0.	-19.84313483298443	0.	14.491376746189438	0.	0.	0.	0.	0.	0.	0.	0.
4.	0.	2.	0.	0.	0.	0.	0.	0.	-5.625	0.	7.245688373094719	0.	-4.960783708246107	0.	0.
0.	5.	1.	0.	-2.3268138086232857	0.	-2.7171331399105196	0.	-2.8641098093474	0.	0.	0.	0.	0.	0.	0.
1.	4.	1.	0.	0.	0.	0.	0.	0.	0.	-2.8641098093474	0.	-8.15139941973156	0.	-11.634069043116428	0.
2.	3.	1.	0.	23.268138086232856	0.	5.434266279821039	0.	-5.7282196186948	0.	0.	0.	0.	0.	0.	0.
3.	2.	1.	0.	0.	0.	0.	0.	0.	0.	-5.7282196186948	0.	-5.434266279821039	0.	23.268138086232856	0.
4.	1.	1.	0.	-11.634069043116428	0.	8.15139941973156	0.	-2.8641098093474	0.	0.	0.	0.	0.	0.	0.
5.	0.	1.	0.	0.	0.	0.	0.	0.	0.	-2.8641098093474	0.	2.7171331399105196	0.	-2.3268138086232857	0.
0.	6.	0.	0.	0.	0.	0.	0.	0.	0.3125	0.	0.45285552331841994	0.	0.49607837082461076	0.	0.6716932893813962
1.	5.	0.	-4.030159736288377	0.	-1.984313483298443	0.	-0.9057110466368399	0.	0.	0.	0.	0.	0.	0.	0.
2.	4.	0.	0.	0.	0.	0.	0.	0.	0.9375	0.	0.45285552331841994	0.	-2.4803918541230536	0.	-10.075399340720942
3.	3.	0.	13.433865787627923	0.	0.	0.	-1.8114220932736798	0.	0.	0.	0.	0.	0.	0.	0.
4.	2.	0.	0.	0.	0.	0.	0.	0.	0.9375	0.	-0.45285552331841994	0.	-2.4803918541230536	0.	10.075399340720942
5.	1.	0.	-4.030159736288377	0.	1.984313483298443	0.	-0.9057110466368399	0.	0.	0.	0.	0.	0.	0.	0.
6.	0.	0.	0.	0.	0.	0.	0.	0.	0.3125	0.	-0.45285552331841994	0.	0.49607837082461076	0.	-0.6716932893813962
