R(Bohr),-1,-2,-3,-4,-5,-6
5,-0.275607,-0.237289,-0.203085,-0.196807,-0.19052,-0.182267
5.2,-0.283865,-0.245335,-0.210401,-0.207037,-0.200149,-0.192469
5.4,-0.290235,-0.251758,-0.216173,-0.21537,-0.207944,-0.200885
5.6,-0.295168,-0.256975,-0.222359,-0.220765,-0.214296,-0.2079
5.8,-0.298977,-0.261261,-0.228096,-0.224724,-0.21946,-0.213782
6,-0.301886,-0.264807,-0.232879,-0.228199,-0.223615,-0.218725
6.2,-0.30406,-0.267744,-0.236857,-0.23132,-0.226939,-0.22287
6.4,-0.305623,-0.270168,-0.240147,-0.234109,-0.229625,-0.226327
6.6,-0.306676,-0.272158,-0.242852,-0.236556,-0.231852,-0.229185
6.8,-0.307296,-0.273773,-0.245053,-0.23866,-0.233742,-0.231516
7,-0.307551,-0.275065,-0.246824,-0.240439,-0.235367,-0.233391
7.2,-0.307497,-0.276076,-0.248232,-0.24192,-0.236762,-0.234878
7.4,-0.30718,-0.276846,-0.249337,-0.243131,-0.237948,-0.236035
7.6,-0.306646,-0.27741,-0.250198,-0.244101,-0.238944,-0.236912
7.8,-0.305928,-0.277796,-0.250867,-0.244851,-0.239767,-0.237543
8,-0.305061,-0.278033,-0.251393,-0.2454,-0.240434,-0.237958
8.2,-0.304072,-0.278143,-0.251821,-0.245765,-0.240959,-0.238184
8.4,-0.302988,-0.278149,-0.252189,-0.245964,-0.241353,-0.238249
8.6,-0.301832,-0.278068,-0.252522,-0.246017,-0.241627,-0.238175
8.8,-0.300623,-0.277914,-0.252837,-0.245947,-0.241788,-0.237985
9,-0.299378,-0.277702,-0.253143,-0.245782,-0.241843,-0.237697
9.2,-0.298116,-0.277444,-0.253444,-0.245554,-0.241799,-0.237331
9.4,-0.296849,-0.277147,-0.253736,-0.245291,-0.241663,-0.236901
9.6,-0.295592,-0.27682,-0.25402,-0.245022,-0.24144,-0.236422
9.8,-0.294354,-0.276467,-0.25429,-0.244766,-0.241137,-0.235902
10,-0.293148,-0.276095,-0.254544,-0.24454,-0.240768,-0.235356
10.2,-0.291983,-0.275705,-0.254781,-0.244351,-0.240345,-0.23479
10.4,-0.290865,-0.2753,-0.254997,-0.244199,-0.239885,-0.234213
10.6,-0.289802,-0.274881,-0.255192,-0.244084,-0.239402,-0.233631
10.8,-0.288802,-0.274451,-0.255366,-0.244003,-0.238911,-0.233052
11,-0.287866,-0.274009,-0.255515,-0.243949,-0.238419,-0.232479
11.4,-0.286203,-0.273102,-0.255746,-0.243902,-0.237469,-0.231368
11.6,-0.285477,-0.272642,-0.255828,-0.243897,-0.237021,-0.230838
11.8,-0.28482,-0.272179,-0.255887,-0.243895,-0.236595,-0.230325
12,-0.284229,-0.271721,-0.255926,-0.243892,-0.236193,-0.229834
12.2,-0.2837,-0.271269,-0.255944,-0.24388,-0.235815,-0.229364
12.4,-0.28323,-0.270828,-0.255945,-0.243856,-0.235463,-0.228917
12.6,-0.282811,-0.270402,-0.255929,-0.243815,-0.235135,-0.228492
12.8,-0.282442,-0.269996,-0.2559,-0.243755,-0.234834,-0.228094
13,-0.282116,-0.26961,-0.255858,-0.243672,-0.234555,-0.227718
13.2,-0.281827,-0.269248,-0.255805,-0.243564,-0.234298,-0.227366
13.4,-0.281573,-0.268912,-0.255746,-0.243431,-0.234063,-0.227039
13.6,-0.281349,-0.268602,-0.255682,-0.243272,-0.233848,-0.226735
13.8,-0.28115,-0.268317,-0.255614,-0.243087,-0.23365,-0.226453
14,-0.280975,-0.268057,-0.255545,-0.242876,-0.233469,-0.226191
14.2,-0.280819,-0.267821,-0.255477,-0.242642,-0.233303,-0.225949
14.4,-0.280681,-0.267608,-0.25541,-0.242385,-0.233152,-0.225726
14.6,-0.280559,-0.267417,-0.255346,-0.242108,-0.233013,-0.225519
14.8,-0.280451,-0.267245,-0.255286,-0.241813,-0.232885,-0.225329
15,-0.280354,-0.267091,-0.255229,-0.241501,-0.232768,-0.225153
15.2,-0.280267,-0.266954,-0.255177,-0.241177,-0.23266,-0.22499
15.4,-0.280189,-0.26683,-0.255129,-0.24084,-0.232559,-0.224839
15.6,-0.28012,-0.266721,-0.255085,-0.240495,-0.232467,-0.224699
15.8,-0.280057,-0.266623,-0.255045,-0.240142,-0.23238,-0.224568
16,-0.280002,-0.266536,-0.25501,-0.239785,-0.2323,-0.224448
16.2,-0.27995,-0.266458,-0.254977,-0.239425,-0.232223,-0.224334
16.4,-0.279905,-0.266389,-0.254949,-0.239064,-0.232152,-0.224229
16.6,-0.279863,-0.266326,-0.254923,-0.238703,-0.232084,-0.22413
16.8,-0.279825,-0.26627,-0.2549,-0.238344,-0.232019,-0.224036
17,-0.279792,-0.266221,-0.25488,-0.23799,-0.231957,-0.223949
17.2,-0.279761,-0.266177,-0.254861,-0.237638,-0.231897,-0.223865
17.4,-0.279732,-0.266136,-0.254844,-0.237293,-0.231838,-0.223785
17.6,-0.279707,-0.266101,-0.25483,-0.236956,-0.231781,-0.22371
17.8,-0.279683,-0.266069,-0.254816,-0.236625,-0.231723,-0.223636
18,-0.279661,-0.26604,-0.254804,-0.236303,-0.231666,-0.223565
18.2,-0.279641,-0.266013,-0.254793,-0.235991,-0.231607,-0.223495
18.4,-0.279622,-0.26599,-0.254783,-0.235689,-0.231548,-0.223426
18.6,-0.279606,-0.265969,-0.254776,-0.235399,-0.231488,-0.223359
18.8,-0.279591,-0.26595,-0.254767,-0.235121,-0.231425,-0.223292
19,-0.279576,-0.265932,-0.25476,-0.234855,-0.231358,-0.223224
