R(Bohr),-1,-2,-3,-4,-5,-6,-7,-8,-9
5,-0.316323,-0.250248,-0.232394,-0.211937,-0.205608,-0.193529,-0.187752,-0.181258,-0.179365
5.2,-0.325415,-0.260163,-0.241309,-0.222073,-0.215164,-0.20314,-0.197533,-0.191397,-0.189381
5.4,-0.332634,-0.26837,-0.24833,-0.230408,-0.223005,-0.211035,-0.205534,-0.199707,-0.197712
5.6,-0.338382,-0.275224,-0.25398,-0.237312,-0.229543,-0.217611,-0.212173,-0.206597,-0.204668
5.8,-0.342938,-0.280982,-0.258611,-0.243044,-0.23505,-0.223134,-0.217725,-0.212346,-0.210507
6,-0.346507,-0.285833,-0.262461,-0.247799,-0.239713,-0.22779,-0.222384,-0.217154,-0.215424
6.2,-0.349251,-0.289923,-0.265687,-0.25173,-0.243671,-0.231715,-0.226294,-0.221167,-0.219568
6.4,-0.351295,-0.293361,-0.2684,-0.254962,-0.247023,-0.235013,-0.229563,-0.224501,-0.223056
6.6,-0.352747,-0.296241,-0.270679,-0.257605,-0.249853,-0.237768,-0.232282,-0.227249,-0.22598
6.8,-0.353697,-0.298636,-0.27258,-0.259752,-0.25222,-0.240047,-0.234527,-0.229491,-0.228415
7,-0.354222,-0.30061,-0.274148,-0.261489,-0.254177,-0.241909,-0.236362,-0.2313,-0.230417
7.2,-0.354388,-0.302217,-0.275421,-0.262892,-0.255762,-0.243405,-0.237845,-0.23275,-0.232027
7.4,-0.354254,-0.303505,-0.276431,-0.264027,-0.257009,-0.244581,-0.239025,-0.233918,-0.233263
7.6,-0.353874,-0.30452,-0.27721,-0.264956,-0.257948,-0.245478,-0.23995,-0.234875,-0.234147
7.8,-0.353293,-0.305295,-0.277781,-0.265724,-0.258606,-0.246131,-0.240659,-0.235641,-0.234727
8,-0.35255,-0.305866,-0.27817,-0.266371,-0.259013,-0.246572,-0.241188,-0.23622,-0.235068
8.2,-0.351682,-0.306259,-0.278398,-0.266919,-0.259202,-0.246832,-0.241566,-0.236621,-0.23522
8.4,-0.350721,-0.306503,-0.278488,-0.267388,-0.259207,-0.246936,-0.24182,-0.236859,-0.235225
8.6,-0.349694,-0.306616,-0.278456,-0.267787,-0.259062,-0.246908,-0.241971,-0.236951,-0.235116
8.8,-0.348623,-0.306618,-0.278319,-0.268121,-0.258798,-0.246767,-0.242031,-0.236915,-0.234923
9,-0.34753,-0.306521,-0.278092,-0.268394,-0.258444,-0.246532,-0.242014,-0.236769,-0.234675
9.2,-0.346434,-0.306342,-0.277791,-0.268611,-0.258028,-0.246221,-0.241929,-0.236533,-0.234402
9.4,-0.345349,-0.306088,-0.277429,-0.268773,-0.257572,-0.245847,-0.241784,-0.236224,-0.234132
9.6,-0.344288,-0.305769,-0.27702,-0.268881,-0.257099,-0.245427,-0.241587,-0.23586,-0.233894
9.8,-0.343261,-0.30539,-0.276573,-0.268934,-0.256623,-0.244971,-0.241339,-0.235458,-0.233712
10,-0.342277,-0.304958,-0.276106,-0.268934,-0.256162,-0.244498,-0.241051,-0.235043,-0.233602
10.2,-0.341344,-0.304478,-0.275629,-0.26888,-0.255729,-0.244022,-0.240725,-0.234659,-0.233542
10.4,-0.340464,-0.303952,-0.275155,-0.268768,-0.255334,-0.243562,-0.240363,-0.234407,-0.233425
10.6,-0.339642,-0.303385,-0.274697,-0.268597,-0.254986,-0.243142,-0.239969,-0.234388,-0.233128
10.8,-0.338879,-0.302781,-0.274268,-0.268365,-0.254693,-0.242788,-0.239544,-0.234507,-0.232704
11,-0.338176,-0.302141,-0.273875,-0.26807,-0.254458,-0.242524,-0.239086,-0.234637,-0.232231
11.4,-0.336944,-0.300774,-0.273224,-0.267306,-0.254174,-0.242323,-0.238094,-0.234684,-0.23125
11.6,-0.336412,-0.300053,-0.272966,-0.26685,-0.254126,-0.242379,-0.237577,-0.234552,-0.230761
11.8,-0.335932,-0.299312,-0.272749,-0.266357,-0.254137,-0.24251,-0.237063,-0.234315,-0.230277
12,-0.3355,-0.298555,-0.272567,-0.265839,-0.254204,-0.242691,-0.236565,-0.23399,-0.229802
12.2,-0.335113,-0.297784,-0.272414,-0.265304,-0.254318,-0.242897,-0.236093,-0.23359,-0.229334
12.4,-0.334768,-0.297005,-0.272285,-0.264765,-0.254474,-0.243111,-0.235653,-0.233136,-0.228877
12.6,-0.334459,-0.296219,-0.272175,-0.26423,-0.254663,-0.24332,-0.235247,-0.232645,-0.22843
12.8,-0.334186,-0.295433,-0.272081,-0.263708,-0.254876,-0.24352,-0.234876,-0.232134,-0.227995
13,-0.333944,-0.294647,-0.271998,-0.263205,-0.255104,-0.243703,-0.234536,-0.231617,-0.227572
13.2,-0.333728,-0.293865,-0.271922,-0.262727,-0.255335,-0.243871,-0.234224,-0.231103,-0.227161
13.4,-0.333538,-0.293091,-0.271853,-0.262283,-0.255564,-0.244024,-0.233941,-0.230605,-0.226766
13.6,-0.33337,-0.292327,-0.271787,-0.261877,-0.255781,-0.244163,-0.233684,-0.230127,-0.226386
