R(Bohr),-1,-2,-3,-4,-5,-6,-7,-8
5,-0.278382,-0.237045,-0.221196,-0.198673,-0.193945,-0.185431,-0.181968,-0.176093
5.2,-0.287247,-0.245895,-0.232512,-0.209141,-0.20411,-0.195675,-0.192262,-0.186505
5.4,-0.294445,-0.253056,-0.241819,-0.217709,-0.212407,-0.204069,-0.200712,-0.195046
5.6,-0.30041,-0.258984,-0.249474,-0.224793,-0.21927,-0.211018,-0.20773,-0.202122
5.8,-0.305424,-0.263992,-0.255738,-0.230687,-0.224994,-0.216812,-0.213596,-0.208022
6,-0.309683,-0.268291,-0.260814,-0.23561,-0.229783,-0.221659,-0.218514,-0.212954
6.2,-0.313319,-0.272014,-0.264884,-0.239723,-0.233787,-0.225713,-0.222632,-0.217077
6.4,-0.316433,-0.275231,-0.268116,-0.243152,-0.237122,-0.229093,-0.226064,-0.220511
6.6,-0.319104,-0.277988,-0.270664,-0.245996,-0.239881,-0.231896,-0.228903,-0.223356
6.8,-0.321391,-0.280318,-0.272654,-0.248337,-0.242141,-0.234198,-0.231226,-0.225693
7,-0.323345,-0.282256,-0.274186,-0.250243,-0.243967,-0.236065,-0.2331,-0.227596
7.2,-0.325011,-0.28384,-0.27534,-0.251772,-0.245418,-0.237552,-0.23458,-0.22913
7.4,-0.326425,-0.28511,-0.276177,-0.252976,-0.246542,-0.238707,-0.23572,-0.230367
7.6,-0.327623,-0.286107,-0.276751,-0.2539,-0.247387,-0.239576,-0.236569,-0.231401
7.8,-0.328631,-0.286864,-0.277103,-0.254581,-0.247991,-0.240193,-0.237171,-0.232401
8,-0.329477,-0.287417,-0.27727,-0.255055,-0.248388,-0.240594,-0.237578,-0.233616
8.2,-0.330182,-0.287795,-0.277286,-0.255351,-0.24861,-0.240808,-0.237871,-0.235018
8.4,-0.330767,-0.288026,-0.277178,-0.255498,-0.248684,-0.240865,-0.238255,-0.236223
8.6,-0.331249,-0.288135,-0.27697,-0.255519,-0.248634,-0.240789,-0.239114,-0.236759
8.8,-0.331643,-0.288141,-0.276683,-0.255434,-0.248479,-0.240613,-0.240313,-0.236733
9,-0.331962,-0.288063,-0.276335,-0.255262,-0.248237,-0.241588,-0.240312,-0.236463
9.2,-0.332219,-0.287919,-0.275944,-0.255021,-0.247925,-0.242791,-0.23996,-0.236065
9.4,-0.332422,-0.287722,-0.27552,-0.254725,-0.247556,-0.243916,-0.239547,-0.235583
9.6,-0.332582,-0.287485,-0.275077,-0.254388,-0.247146,-0.244953,-0.239092,-0.235043
9.8,-0.332702,-0.287215,-0.274622,-0.25402,-0.246738,-0.245866,-0.238605,-0.234459
10,-0.332792,-0.286925,-0.274165,-0.253634,-0.246928,-0.246073,-0.238099,-0.233849
10.2,-0.332856,-0.28662,-0.273711,-0.25324,-0.247689,-0.24561,-0.237584,-0.233223
10.4,-0.332898,-0.286307,-0.273264,-0.252846,-0.248419,-0.245086,-0.237067,-0.232592
10.6,-0.332923,-0.28599,-0.272828,-0.252461,-0.249085,-0.24454,-0.236556,-0.231965
10.8,-0.332934,-0.285675,-0.272407,-0.252097,-0.249685,-0.243982,-0.236059,-0.231353
11,-0.332933,-0.285364,-0.272001,-0.251772,-0.250203,-0.243416,-0.235577,-0.230763
