time,p0,p1
7.219999999999999e-5,0.04795633410484576,0.9520436658951
7.379999999999999e-5,0.06413697412821634,0.9358630258717296
7.54e-5,0.04130926572390484,0.9586907342760411
7.7e-5,0.09958030166035686,0.9004196983395893
7.859999999999999e-5,0.08475224437045747,0.9152477556294886
8.02e-5,0.0958201015576051,0.904179898442341
8.18e-5,0.2437364004608511,0.7562635995390949
8.340000000000001e-5,0.13154015380293313,0.8684598461970128
8.499999999999999e-5,0.4230755161046599,0.5769244838952863
8.659999999999999e-5,0.5011346672136472,0.4988653327862988
8.82e-5,0.49519427960765433,0.5048057203922915
8.979999999999999e-5,0.49404253060860476,0.5059574693913412
9.14e-5,0.2572209013935979,0.7427790986063479
9.3e-5,0.23301135898650327,0.7669886410134424
9.46e-5,0.25985453525339275,0.7401454647465532
9.62e-5,0.07713296809836026,0.9228670319015855
9.779999999999999e-5,0.1615587460623753,0.8384412539375705
9.94e-5,0.11255820337949027,0.8874417966204555
0.000101,0.06668368828116361,0.9333163117187822
0.00010259999999999999,0.11892672942135603,0.88107327057859
0.0001042,0.05858794671412666,0.9414120532858189
