time,p0,p1
9.999999999999999e-6,0.00026091825830391527,0.9997390817416955
4.0625e-5,0.0008053932179614798,0.999194606782038
7.125e-5,0.002069194991576808,0.9979308050084218
0.000101875,0.004130993984155949,0.9958690060158425
0.0001325,0.00645328412126708,0.9935467158787313
0.000163125,0.008112856207317802,0.9918871437926798
0.00019375,0.008386850604081264,0.9916131493959162
0.000224375,0.007239786471407095,0.9927602135285905
0.00025499999999999996,0.0053441413134337435,0.9946558586865641
0.00028562499999999996,0.0036222484555091315,0.9963777515444868
0.00031624999999999996,0.002658125918033566,0.9973418740819622
0.00034687499999999996,0.0024324360398611505,0.9975675639601349
0.00037749999999999996,0.0025612031975975986,0.9974387968023982
0.00040812499999999996,0.0027842277553715806,0.9972157722446242
0.00043874999999999996,0.003250295601930409,0.9967497043980653
0.00046937499999999996,0.004346800988098903,0.9956531990118963
0.0005,0.006230302365764424,0.9937696976342314
