value,00,01,10,11,trials
0.01,1,24,36,6,67
0.3575,4,3,77,1,85
0.705,2,44,23,3,72
1.0525,1,71,19,4,95
1.4,3,37,33,4,77
0.1737,0,7,22,1,30
0.5211,1,8,15,0,24
0.8685,0,15,7,0,22
1.2159,2,19,11,1,33
