tWaits,Expect_P00,Expect_P11
1.0e-5,0.9933441122154474,0.0005833995717198746
0.00132,0.004592852902226443,0.8591432488250895
0.01452,0.35856713513688393,0.5816691332687536
0.014813333333333333,0.7059440452028161,0.281036823751221
0.015106666666666666,0.9517077166320622,0.04714029298612217
0.0154,0.9821619090978856,0.017499466547586065
0.015693333333333333,0.7821217205397955,0.20503353029284374
0.015986666666666666,0.4455394879551664,0.5099116010685844
0.01628,0.14231977764907935,0.7704081927252584
0.016573333333333332,0.01703447528203593,0.8661899513953943
0.016866666666666665,0.1359202282740798,0.7629982941260454
0.01716,0.46536448392091434,0.49197655802291274
