tWaits,Expect_P00,Expect_P11
1.0e-5,0.9933441122154474,0.0005833995717198746
0.0001006896551724138,0.979528917720598,0.016702346992505206
0.0001913793103448276,0.9442824667296357,0.053685586542844284
0.00028206896551724136,0.8887853986103686,0.10936216813067166
0.00037275862068965516,0.8146142462921404,0.1811948989561062
0.00046344827586206896,0.7239819019268354,0.2660775037672573
0.0005541379310344828,0.6202583469973435,0.35994962621871074
0.0006448275862068966,0.5083779516363424,0.4576611762396588
0.0007355172413793103,0.3947018544655187,0.5533843028332733
0.0008262068965517241,0.2862100775158016,0.6415053666325407
0.0009168965517241379,0.189365482736899,0.7175707228099444
0.0010075862068965517,0.10925606678535989,0.7787676800491865
0.0010982758620689656,0.049444777154459274,0.8236912354207827
0.0011889655172413792,0.012428439791505567,0.8515901715337262
0.001279655172413793,0.00015936502751098287,0.861648446333066
0.001370344827586207,0.017230391501823848,0.8506399791187622
0.0014610344827586208,0.06036288476435257,0.8199723484739658
0.0015517241379310344,0.12775396377821163,0.7700683457838524
0.0016424137931034483,0.2150437210831911,0.7030293550926691
0.0017331034482758621,0.3161526874525589,0.6224837978984904
0.0018237931034482758,0.42444825542956605,0.5329211386948678
0.0019144827586206896,0.5338384672817514,0.4389024172745214
0.0020051724137931035,0.639289561424191,0.3446122852823491
0.0020958620689655173,0.7367163329067744,0.253939481446732
0.002186551724137931,0.8225844982019361,0.17089249107885737
0.002277241379310345,0.8936258373217237,0.0998621823915932
0.0023679310344827584,0.9468810499612572,0.04536446012647309
0.0024586206896551723,0.9799886779662307,0.011286543840313005
0.002549310344827586,0.9915083611205755,1.938981346744492e-5
0.00264,0.9785977767104056,0.014683622934319926
0.01452,0.35856713513688393,0.5816691332687536
0.014611034482758621,0.46734320886515923,0.4913218073980908
0.014702068965517241,0.5772846333997933,0.39655803427728087
0.014793103448275863,0.6834001277363325,0.30163873307772926
0.014884137931034483,0.7805449037999581,0.21179208238955904
0.014975172413793104,0.8638050629536638,0.13263215317317215
0.015066206896551724,0.9291577259252342,0.0692287047697269
0.015157241379310345,0.9739437149407066,0.025299823447173825
0.015248275862068965,0.9968261551688806,0.002897650666035573
0.015339310344827587,0.9973219015639833,0.0026262084545068897
0.015430344827586207,0.9715162450220106,0.027802079176962032
0.015521379310344828,0.9249113004083287,0.07222970896067801
0.015612413793103448,0.8574269493310571,0.13541980614393037
0.015703448275862068,0.7718456684591994,0.21448226041106686
0.01579448275862069,0.672692358499456,0.30518522957471783
0.01588551724137931,0.5658033319702929,0.40211279927966015
0.015976551724137932,0.4574176647488887,0.4993386869079776
0.01606758620689655,0.35322946334111305,0.5913592585018899
0.016158620689655172,0.2578259866524738,0.673829028081697
0.016249655172413793,0.17464707553654366,0.7438186135930471
0.016340689655172415,0.0998331069750344,0.8046908886995621
0.016431724137931033,0.051117469515735384,0.8426586819538634
0.016522758620689654,0.022864081386855518,0.8630567163446179
0.016613793103448276,0.017809499249983752,0.8642727155441841
0.016704827586206897,0.037985071742809795,0.8452455585908633
0.016795862068965516,0.0837717712518652,0.8061633891789188
0.016886896551724137,0.15320381532704455,0.7488258592079506
0.01697793103448276,0.2419488643793718,0.6764340647820297
0.01706896551724138,0.3440511318554418,0.5929341806379211
0.01716,0.46536448392091434,0.49197655802291274
