tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.25002730010665253,0.24998023144850798,0.24998023144850798,0.24999575879530397
0.000101,0.013246925206615625,7.048060887790361e-7,7.048060887791769e-7,0.9863717318199879
0.000201,0.05278951499489038,2.9070254818324672e-6,2.907025481834847e-6,0.9464498999571469
0.000301,0.11645760650337389,6.446828425225149e-6,6.446828425226975e-6,0.8823937784680093
0.000401,0.20077903901747024,1.1133894963482356e-5,1.113389496348869e-5,0.7976969044709206
0.000501,0.3011643501670213,1.671969579742423e-5,1.6719695797434064e-5,0.6969356128211937
0.000601,0.41216388960963524,2.2862177613610094e-5,2.286217761361536e-5,0.5855713386566228
0.000701,0.527752071103174,2.9199170306535977e-5,2.919917030654121e-5,0.46961943564424524
0.000801,0.6416626912488879,3.542096020990209e-5,3.542096020990337e-5,0.3553469544608914
0.000901,0.7477351568224098,4.123133973892305e-5,4.123133973892472e-5,0.24892696695364216
0.001001,0.8402233327302648,4.630874108557833e-5,4.630874108558579e-5,0.1560933961879858
0.001101,0.9141277995915968,5.037304695837311e-5,5.037304695836728e-5,0.08184526873638688
0.001201,0.9654579464751258,5.323791819272785e-5,5.3237918192716736e-5,0.03017098632224223
0.001301,0.9914725349888159,5.47632914509056e-5,5.4763291450891935e-5,0.003834015424726162
0.001401,0.9907491357825423,5.482791418101147e-5,5.482791418099929e-5,0.004223618282501436
0.001501,0.9633686117002579,5.339396922278341e-5,5.3393969222773195e-5,0.03128225454315853
0.001601,0.9108257874620539,5.0549351779753805e-5,5.05493517797437e-5,0.08350962751940688
0.001701,0.8359763187582498,4.646258799505234e-5,4.646258799504676e-5,0.15804518646096735
0.001801,0.7428865645898904,4.13338357176348e-5,4.133383571763059e-5,0.2508257315992411
0.001901,0.6366043358908939,3.54407660029463e-5,3.5440766002945e-5,0.3568076123001543
0.002001,0.5228752577009601,2.9147443940108786e-5,2.9147443940110846e-5,0.47023354027106123
0.002101,0.40784919848775386,2.282141713665548e-5,2.282141713666644e-5,0.5849498392728446
0.002201,0.29774812725078575,1.6783964603141864e-5,1.678396460315687e-5,0.6947565003156214
0.002301,0.19850033484907564,1.1346219201931513e-5,1.13462192019445e-5,0.793692740606256
0.002401,0.11545899814401266,6.815455675259506e-6,6.815455675267318e-6,0.8764381452257433
0.002501,0.05308074011463665,3.422522734096047e-6,3.422522734098326e-6,0.938504942079807
0.002601,0.014706883917351383,1.301796810692637e-6,1.3017968106933135e-6,0.9765728712928966
0.002701,0.0023735370992779394,5.483737411891476e-7,5.483737411893715e-7,0.9886022404468684
0.002801,0.01670671095120103,1.2327192198958536e-6,1.2327192198981188e-6,0.9739490583549181
0.002901,0.05688923293588919,3.336989906734048e-6,3.336989906740116e-6,0.9334520083371389
0.003001,0.12070764276751351,6.7366502925578685e-6,6.736650292568877e-6,0.8693222968112967
0.003101,0.20467166554465413,1.125878389443086e-5,1.125878389444743e-5,0.7850389746948918
0.003201,0.3042070004257608,1.669645059164576e-5,1.6696450591663808e-5,0.6851801139299127
0.003301,0.4139051339553331,2.2762456788310854e-5,2.276245678832928e-5,0.5751593661470338
0.003401,0.5278151806690068,2.9094761992566392e-5,2.9094761992576787e-5,0.4609288278484422
0.003501,0.6397659338344597,3.532810216910828e-5,3.532810216910964e-5,0.3486594322995835
0.003601,0.7437010151199211,4.112535819828223e-5,4.1125358198266516e-5,0.24440832013979524
0.003701,0.8340066753721803,4.615708353431524e-5,4.615708353428879e-5,0.1537910081731244
0.003801,0.9058122789158319,5.0123375983912015e-5,5.012337598387265e-5,0.08167788009113425
0.003901,0.955248514017765,5.2815596883089106e-5,5.281559688304779e-5,0.03193258289952423
0.004001,0.9796655983442883,5.412337397526903e-5,5.412337397523164e-5,0.007205469815157807
