axisValue,mean,errorLower,errorUpper
0.1,1e-06,0,0.016
0.866666666666667,0.011001,0.01,0.016
1.63333333333333,0.044001,0.023,0.025
2.4,0.011001,0.01,0.016
3.16666666666667,0.011001,0.01,0.016
3.93333333333333,0.022001,0.016,0.019
4.7,0.022001,0.016,0.019
5.46666666666667,1e-06,0,0.016
6.23333333333333,0.022001,0.016,0.019
7,0.011001,0.01,0.016
1.429,0.049001,0.024,0.029
7.778,0.058001,0.032,0.041
8.55575,0.019001,0.017,0.028
9.3335,0.058001,0.032,0.041
10.11125,0.019001,0.017,0.028
10.889,0.077001,0.035,0.049
11.66675,0.039001,0.028,0.033
12.4445,0.038001,0.023,0.037
13.22225,0.019001,0.017,0.028
14,0.038001,0.023,0.037
15.4,0.100001,0.057,0.075
16.1,0.033001,0.029,0.051
16.8,0.067001,0.044,0.064
17.5,0.200001,0.086,0.105
18.2,0.089001,0.031,0.03
18.9,0.080001,0.026,0.031
19.6,0.036001,0.018,0.02
20.3,0.062001,0.022,0.028
21,0.089001,0.031,0.03
