axisValue,mean,errorLower,errorUpper
0.1,0.567001,0.0980000000000001,0.102
0.866666666666667,0.256001,0.057,0.064
1.63333333333333,0.067001,0.026,0.032
2.4,0.534001,0.092,0.1
3.16666666666667,0.545001,0.0970000000000001,0.098
3.93333333333333,0.089001,0.034,0.034
4.7,0.156001,0.048,0.044
5.46666666666667,0.523001,0.0960000000000001,0.094
6.23333333333333,0.434001,0.084,0.0840000000000001
7,0.100001,0.035,0.037
1.429,0.037001,0.02,0.026
7.778,0.423001,0.103,0.117
8.55575,0.712001,0.136,0.142
9.3335,0.231001,0.068,0.084
10.11125,0.250001,0.077,0.083
10.889,0.674001,0.135,0.144
11.66675,0.404001,0.102,0.112
12.4445,0.115001,0.048,0.056
13.22225,0.212001,0.068,0.077
14,0.462001,0.114,0.119
15.4,0.200001,0.086,0.105
16.1,0.433001,0.131,0.168
16.8,0.500001,0.151,0.171
17.5,0.200001,0.086,0.105
18.2,0.232001,0.053,0.05
18.9,0.250001,0.052,0.055
19.6,0.375001,0.066,0.071
20.3,0.330001,0.064,0.063
21,0.241001,0.053,0.052
