axisValue,mean,errorLower,errorUpper
0.1,1e-06,0,0.016
0.866666666666667,0.011001,0.01,0.016
1.63333333333333,0.022001,0.016,0.019
2.4,0.022001,0.016,0.019
3.16666666666667,0.033001,0.02,0.022
3.93333333333333,0.011001,0.01,0.016
4.7,0.011001,0.01,0.016
5.46666666666667,0.022001,0.016,0.019
6.23333333333333,0.022001,0.016,0.019
7,0.022001,0.016,0.019
1.429,0.012001,0.011,0.018
7.778,0.038001,0.023,0.037
8.55575,1e-06,0,0.026
9.3335,0.019001,0.017,0.028
10.11125,0.077001,0.036,0.048
10.889,0.096001,0.045,0.05
11.66675,0.115001,0.047,0.057
12.4445,0.135001,0.053,0.06
13.22225,0.115001,0.048,0.056
14,0.096001,0.045,0.05
15.4,0.167001,0.072,0.1
16.1,0.067001,0.043,0.065
16.8,0.100001,0.057,0.075
17.5,0.100001,0.056,0.076
18.2,0.098001,0.033,0.031
18.9,0.107001,0.034,0.033
19.6,0.116001,0.036,0.034
20.3,0.116001,0.036,0.034
21,0.134001,0.036,0.039
