tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.25003196924132887,0.2499828462150586,0.2499828462150586,0.2499949462494196
0.000101,0.013041506479169912,1.8838615407338705e-6,1.883861540733046e-6,0.9867757214384407
0.000201,0.05194231510036809,3.6916033175729496e-6,3.691603317571181e-6,0.9476929601514777
0.000301,0.11463777954957798,6.217862668419298e-6,6.217862668419023e-6,0.8848111236612485
0.000401,0.1977855203379123,1.1619951582850544e-5,1.1619951582849336e-5,0.8014732641241777
0.000501,0.29691120054886894,1.6790864437924223e-5,1.679086443792307e-5,0.702172918542097
0.000601,0.4067538311537292,2.2250942781795333e-5,2.2250942781799015e-5,0.592147301140774
0.000701,0.5214358397854199,2.875326194836857e-5,2.8753261948374688e-5,0.4772807588071988
0.000801,0.6348524937976721,3.52240304335969e-5,3.52240304336028e-5,0.3636868554397232
0.000901,0.7409778080500241,4.0516553087092005e-5,4.0516553087095684e-5,0.2573923855903393
0.001001,0.8341399973393013,4.545093202024037e-5,4.5450932020242674e-5,0.16405771686452886
0.001101,0.9094159727267741,5.036198720053161e-5,5.036198720053886e-5,0.08860621311804512
0.001201,0.9628115902153606,5.2576643790002746e-5,5.257664379000795e-5,0.03505362739270843
0.001301,0.9914912647045951,5.4043378036030333e-5,5.4043378036034955e-5,0.006210560899496769
0.001401,0.9939776957719719,5.505206162768315e-5,5.505206162768437e-5,0.0035618919100440386
0.001501,0.9701477167579556,5.3068589999557356e-5,5.306858999956567e-5,0.02724268550510315
0.001601,0.9213120573661173,5.0487926449287023e-5,5.0487926449291936e-5,0.07593130927750605
0.001701,0.8500887769629739,4.7156424141291154e-5,4.71564241412882e-5,0.14700777250417812
0.001801,0.760282136027472,4.1915197764095886e-5,4.1915197764086914e-5,0.23667179619335046
0.001901,0.6567015148403313,3.6294290207750275e-5,3.629429020773919e-5,0.34011053097898764
0.002001,0.5448547491607297,3.044961543774355e-5,3.0449615437729227e-5,0.45181483622183705
0.002101,0.43069734599789306,2.426347071288624e-5,2.426347071287312e-5,0.5658299685512498
0.002201,0.3202948216638616,1.8053731943592807e-5,1.8053731943584797e-5,0.6760948067390911
0.002301,0.21949527385960838,1.272818233000206e-5,1.2728182329995958e-5,0.7767603394555411
0.002401,0.1336333583301345,8.179967225567162e-6,8.17996722556192e-6,0.862480849789132
0.002501,0.06723679046198032,4.306159455878501e-6,4.3061594558776154e-6,0.9287311110508114
0.002601,0.023793867628520232,2.0537236738577366e-6,2.0537236738585193e-6,0.9720368283120078
0.002701,0.005567466109008473,1.072185985966999e-6,1.0721859859672868e-6,0.990112907671873
0.002801,0.013476270486203526,1.4181251801136084e-6,1.4181251801122976e-6,0.9820573958858756
0.002901,0.04704610495116218,3.179191471313448e-6,3.1791914713103284e-6,0.9483363949610529
0.003001,0.10445242258030873,6.247977697213591e-6,6.247977697207417e-6,0.8907762586965369
0.003101,0.18259816579265825,1.0593162326700416e-5,1.0593162326691063e-5,0.8124751034302826
0.003201,0.27729475252475155,1.5536552997435683e-5,1.5536552997425702e-5,0.7176227376693054
0.003301,0.3834936171480588,2.1258502961978244e-5,2.1258502961970485e-5,0.6112631106365499
0.003401,0.4955313763015613,2.7472828832934767e-5,2.7472828832934147e-5,0.49907103924800067
0.003501,0.6074552841353532,3.347229532295318e-5,3.347229532296025e-5,0.3869827784617549
0.003601,0.713341154641855,3.9021834999469305e-5,3.9021834999482546e-5,0.2809467033780088
0.003701,0.8075633871792315,4.430150056862885e-5,4.4301500568649887e-5,0.1865618401638732
0.003801,0.8851819022942228,4.8717435006377106e-5,4.871743500640163e-5,0.1087922237789622
0.003901,0.9420852893786809,5.1261642057993404e-5,5.126164205801933e-5,0.05173723537980132
0.004001,0.975315737114243,5.343626730124387e-5,5.3436267301263644e-5,0.01835427725639615
0.004101,0.9831673645577311,5.4184946187848146e-5,5.418494618786297e-5,0.010358692990898003
0.004201,0.9652425556343666,5.244266506545542e-5,5.244266506546314e-5,0.028134532854141
0.004301,0.9225900291716054,5.0696814206950936e-5,5.069681420695444e-5,0.07064930524590284
0.004401,0.8574757107575882,4.7376943092994495e-5,4.737694309298815e-5,0.1356177042109658
0.004501,0.7734148652425331,4.218680391746481e-5,4.21868039174556e-5,0.21954548980097222
0.004601,0.674895588358826,3.723569868970179e-5,3.723569868968384e-5,0.31792632935093695
0.004701,0.5671391666305082,3.160736452978298e-5,3.160736452976159e-5,0.42554216259694977
0.004801,0.4558902694517611,2.525657722251261e-5,2.5256577222488198e-5,0.5366600954277052
0.004901,0.3470143501652734,1.919167922790747e-5,1.9191679227890447e-5,0.6453983351280909
0.005001,0.24626440520190915,1.4314058905059145e-5,1.4314058905047737e-5,0.7460034566628719
0.005101,0.15895215430724927,9.325911785419969e-6,9.325911785412124e-6,0.8331731805301821
0.005201,0.08963190706476692,4.932313120209881e-6,4.932313120206436e-6,0.9023512784336657
0.005301,0.04194518311002267,3.4148535445251775e-6,3.4148535445254918e-6,0.9498886918989193
0.005401,0.018328448181353468,1.6293922889402684e-6,1.62939228894052e-6,0.9733552608942343
0.005501,0.01996256691542774,1.0710974013597529e-6,1.071097401357584e-6,0.9715698547696232
0.005601,0.04671433637416355,3.6788817126815013e-6,3.6788817126767965e-6,0.9446625119084612
0.005701,0.09706303237690427,5.758950962913713e-6,5.758950962905825e-6,0.8941565686462905
0.005801,0.168308295535006,9.249392659597981e-6,9.249392659587009e-6,0.8227469433622508
0.005901,0.256626679261117,1.477513941093093e-5,1.477513941091875e-5,0.7342592626921038
0.006001,0.3572891172772763,1.9911995694351347e-5,1.9911995694339525e-5,0.6334322058638425
0.006101,0.46497370243574715,2.5438243796189518e-5,2.5438243796186038e-5,0.5255843842523076
0.006201,0.5739619297782799,3.1592276842078794e-5,3.1592276842082406e-5,0.4164330981319744
0.006301,0.6785096365075138,3.7552429714092586e-5,3.7552429714108334e-5,0.31172746493796816
0.006401,0.7731168927725018,4.205500544101951e-5,4.205500544104351e-5,0.21696487760248617
0.006501,0.8528125443103021,4.650358981417588e-5,4.650358981420581e-5,0.1371058821169396
0.006601,0.9134694221182988,5.044607191140376e-5,5.0446071911432244e-5,0.07630163446929208
0.006701,0.9519096989416377,5.159511545520051e-5,5.159511545523083e-5,0.0377072645034693
0.006801,0.9662084410582832,5.268178266854009e-5,5.268178266856648e-5,0.023266623855521005
0.006901,0.9556665094680076,5.265069463672329e-5,5.2650694636738205e-5,0.033668245662698666
0.007001,0.9209013946685207,4.994234645034336e-5,4.994234645035474e-5,0.06829743186586656
0.007101,0.8638272755772376,4.7218171792406636e-5,4.721817179241608e-5,0.1252363827224899
0.007201,0.7874955789096939,4.3330402289088984e-5,4.333040228908757e-5,0.20143508855597386
0.007301,0.6959825135733724,3.798464763697642e-5,3.7984647636965975e-5,0.2928265341587727
