tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.2500218220397536,0.24997893129035476,0.24997893129035495,0.24999618452929762
0.000101,0.012403339610125309,1.5167664927735349e-6,1.516766492773064e-6,0.9871127489616821
0.000201,0.04942491028637776,2.9156263056774736e-6,2.9156263056772538e-6,0.9496167269162674
0.000301,0.10915332938389759,5.848009792912697e-6,5.848009792915801e-6,0.8894341302821028
0.000401,0.1885482054624945,1.0530989692993173e-5,1.0530989693000095e-5,0.8095990501657497
0.000501,0.28350563504938775,1.4668523125974136e-5,1.4668523125984568e-5,0.7141967277349321
0.000601,0.3891872110237628,2.0760922430180173e-5,2.0760922430192296e-5,0.6080870781430697
0.000701,0.5002218008314981,2.6187462102560253e-5,2.6187462102574943e-5,0.4966375458116377
0.000801,0.6109327977198539,3.1769864914519095e-5,3.176986491452616e-5,0.38551040682786347
0.000901,0.7156977095201217,3.7757950939180106e-5,3.7757950939178555e-5,0.28032626022580004
0.001001,0.8092288843388542,4.180058973956268e-5,4.180058973954841e-5,0.18639837324570685
0.001101,0.886782655026132,4.643366301767914e-5,4.643366301766048e-5,0.10844071859527529
0.001201,0.944463545136894,4.927500097800727e-5,4.92750009779812e-5,0.05036759032377958
0.001301,0.9793797726330222,5.064133507759159e-5,5.064133507756851e-5,0.015056308137722327
0.001401,0.9898537040952622,5.186086772650874e-5,5.186086772649196e-5,0.004203413822620087
0.001501,0.9753763325175868,5.05208318616316e-5,5.052083186161208e-5,0.01829792867178271
0.001601,0.9367688810795824,4.871272709253094e-5,4.8712727092514605e-5,0.056527894072137076
0.001701,0.8760808974992831,4.5694363584766745e-5,4.569436358475736e-5,0.11684635800115202
0.001801,0.7964301061937435,4.123138233202378e-5,4.123138233201761e-5,0.19613824947792521
0.001901,0.7019110059410246,3.6705761746142606e-5,3.670576174614009e-5,0.2902900819979026
0.002001,0.5973844098369117,3.0977184612333563e-5,3.0977184612333645e-5,0.3944589625128002
0.002101,0.4881454501763161,2.548768135387468e-5,2.548768135388246e-5,0.5033349383631696
0.002201,0.3797603349417112,1.998458739445427e-5,1.998458739446614e-5,0.6113682727276173
0.002301,0.2776974930170841,1.4458410360640636e-5,1.4458410360660133e-5,0.7130789653871082
0.002401,0.18708006902769928,1.0094872593992275e-5,1.0094872594010009e-5,0.803340642108292
0.002501,0.11244595349821844,6.172090231868773e-6,6.1720902318816414e-6,0.8776176741371959
0.002601,0.057477047359082975,3.324045018634578e-6,3.3240450186425663e-6,0.9322296314212054
0.002701,0.024859292883556032,1.8130501499014853e-6,1.813050149907531e-6,0.964498760777894
0.002801,0.01612113755978001,1.4266405129841943e-6,1.4266405129860156e-6,0.9728743684373004
0.002901,0.03156014543982653,2.2065920661260965e-6,2.20659206612663e-6,0.9570816948038037
0.003001,0.07027507531889057,4.336038175670586e-6,4.336038175673979e-6,0.9180005643716562
0.003101,0.13016283521369468,7.5722098977358174e-6,7.572209897745785e-6,0.8577557892342861
0.003201,0.20805968101896397,1.145756969257433e-5,1.1457569692594052e-5,0.7795002499359296
0.003301,0.29992902222618223,1.6428528950085558e-5,1.6428528950114113e-5,0.6872678121387676
0.003401,0.4010223305945655,2.1566051387863196e-5,2.1566051387899893e-5,0.5858100361525245
0.003501,0.5061650849554035,2.7002689878337362e-5,2.700268987837531e-5,0.480306057534574
0.003601,0.6100131556195085,3.244331323537537e-5,3.244331323540029e-5,0.3760986205986281
0.003701,0.7073101620940301,3.717393954016892e-5,3.717393954017758e-5,0.2784433804965674
0.003801,0.7931723922042445,4.1924678709387344e-5,4.1924678709378806e-5,0.19222320380112234
0.003901,0.8633151989842888,4.5128151629056864e-5,4.512815162903732e-5,0.12172195548335636
0.004001,0.914300190552635,4.769827125483539e-5,4.769827125480459e-5,0.07038211337616046
0.004101,0.9436756945983833,4.948867909591546e-5,4.948867909587536e-5,0.040662443511602614
0.004201,0.9500664963562563,4.907913113952048e-5,4.907913113947202e-5,0.033926655489120085
0.004301,0.933317108518485,4.86370305473482e-5,4.8637030547301744e-5,0.050325132334509935
0.004401,0.8944375456266781,4.638137749201993e-5,4.638137749198474e-5,0.08887073902022574
0.004501,0.8354989241874115,4.296657310319639e-5,4.296657310317489e-5,0.14746748980264696
0.004601,0.7596511775315253,3.954878419068306e-5,3.9548784190669e-5,0.22297721535492593
0.004701,0.6708260026296832,3.432232807276626e-5,3.4322328072765705e-5,0.31147167867852166
0.004801,0.5735718111715694,2.969879397088066e-5,2.9698793970886883e-5,0.4083873210270684
0.004901,0.4728871446779543,2.4442335673190697e-5,2.44423356732036e-5,0.5087439118751277
0.005001,0.37385065950927765,1.903604792930586e-5,1.9036047929324384e-5,0.6074430355172238
0.005101,0.28143872667170744,1.499962633621273e-5,1.4999626336228931e-5,0.6995249446970179
0.005201,0.20026706252651794,1.0187492565413612e-5,1.0187492565427855e-5,0.7803588243847475
0.005301,0.13433781113247462,7.3017605923163925e-6,7.30176059232923e-6,0.8459544904126208
0.005401,0.08684296875763504,5.124121449545684e-6,5.1241214495552724e-6,0.8931112962952722
0.005501,0.06003340328728292,3.275032300956475e-6,3.2750323009641804e-6,0.919580636082993
0.005601,0.055101026033541396,3.897860325487433e-6,3.897860325494931e-6,0.924176733377761
0.005701,0.07210395967430587,4.378908261985071e-6,4.378908261993772e-6,0.9068261290033509
0.005801,0.11000192113290774,6.602895397694198e-6,6.602895397703252e-6,0.868585169035492
0.005901,0.1667304812268015,9.877339656159478e-6,9.87733965616614e-6,0.8115149421809109
0.006001,0.2392514226739701,1.3156449283389268e-5,1.3156449283392813e-5,0.7386460030535205
0.006101,0.3237711449489753,1.821581931393032e-5,1.821581931392854e-5,0.6537743265979583
0.006201,0.4159491290594896,2.2481224887204223e-5,2.24812248871998e-5,0.5612495100130841
0.006301,0.5110434234173588,2.7489187340400395e-5,2.7489187340391637e-5,0.46580874957200397
0.006401,0.6042299385652941,3.260534890194249e-5,3.2605348901926926e-5,0.3722761960470034
0.006501,0.6908347959191655,3.632051859758086e-5,3.6320518597565916e-5,0.2853281518478075
0.006601,0.7665133743781651,4.0771145376101375e-5,4.07711453760821e-5,0.20930594017267978
0.006701,0.8275376517785008,4.349625025554978e-5,4.3496250255532e-5,0.14794453369099464
0.006801,0.8709467385046983,4.5444530742353374e-5,4.544453074233383e-5,0.1042027428490554
0.006901,0.8946638330250897,4.6995508865317146e-5,4.699550886529562e-5,0.08014947869462227
0.007001,0.8976452920059248,4.648480251883596e-5,4.6484802518819225e-5,0.07683190105700342
0.007101,0.8799094854450499,4.582054426405743e-5,4.582054426405904e-5,0.09424375526974993
0.007201,0.8424857238039651,4.3656828509709525e-5,4.365682850971541e-5,0.13133934695557883
0.007301,0.7874125639051234,4.057355824833554e-5,4.057355824834772e-5,0.18608850756799358
0.007401,0.7175925487399711,3.728684855334485e-5,3.7286848553361896e-5,0.25558651621368306
0.007501,0.6366557388455873,3.266324425958577e-5,3.266324425959997e-5,0.3362046973481311
0.007601,0.5487488781389672,2.8394690004974774e-5,2.8394690004984105e-5,0.42378834223735296
0.007701,0.4583587590638591,2.3786367531814433e-5,2.3786367531823395e-5,0.513866334899277
0.007801,0.37005012677690463,1.9072905613433656e-5,1.9072905613442865e-5,0.601853475613229
0.007901,0.28824844988734977,1.5211567812063268e-5,1.5211567812075404e-5,0.6833339410398203
0.008001,0.2170300790695786,1.1495059216159878e-5,1.1495059216172883e-5,0.7542385134969503
0.008101,0.1599021027414832,8.71921509023659e-6,8.719215090247626e-6,0.8110477886132508
0.008201,0.11962979401104158,6.799390116335643e-6,6.799390116346683e-6,0.8509960353654179
0.008301,0.09812598004646743,5.807113481238146e-6,5.807113481248943e-6,0.8721740454849403
0.008401,0.09633531757363405,5.882849189559367e-6,5.882849189570027e-6,0.8736403108654871
0.008501,0.11420128002966076,6.8570580647109405e-6,6.857058064722554e-6,0.8554509132665238
0.008601,0.15068851493976673,8.924496100936569e-6,8.924496100950372e-6,0.8186379960358168
0.008701,0.20381804321318228,1.168024534757693e-5,1.1680245347591486e-5,0.7651798619376543
0.008801,0.27079258774889164,1.521228738014304e-5,1.5212287380153602e-5,0.6978741188019224
0.008901,0.348138800165104,1.9186577136889436e-5,1.918657713689503e-5,0.6201945193589102
0.009001,0.4318700492197773,2.355332837222818e-5,2.355332837223009e-5,0.5361288261105307
0.009101,0.5177159220366577,2.792963733263859e-5,2.7929637332629685e-5,0.4499497258732972
0.009201,0.6013214558102071,3.2054673359633977e-5,3.2054673359613004e-5,0.3660124662308773
0.009301,0.6784606954402912,3.621774373889117e-5,3.6217743738853967e-5,0.2885437522084565
0.009401,0.7452697586483925,3.9300531354341935e-5,3.930053135429577e-5,0.22140799912015463
0.009501,0.7984201096434901,4.202112746910934e-5,4.20211274690589e-5,0.16793076462570525
0.009601,0.8352825753212814,4.3988690736197684e-5,4.398869073615298e-5,0.13074024983282545
0.009701,0.8540749311416499,4.4498649234009625e-5,4.4498649233966365e-5,0.11162071553804868
0.009801,0.8539334738190202,4.477005487717177e-5,4.4770054877138444e-5,0.11143555667538942
0.009901,0.8349512129476614,4.348233516051767e-5,4.348233516049514e-5,0.13009978119897003
0.010001,0.7981661860266106,4.1517621932837e-5,4.1517621932828475e-5,0.1665688258049907
0.010101,0.7455138621722288,3.903069746245869e-5,3.903069746246119e-5,0.21889971628024457
