groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.000327944568413434
1,1,nacs_highfield1_detunedARP_b_back,1,0,0,0.000327827777384602
1,2,nacs_uWave_tau,5e-06,0.0065906661916637,0.00107611290723817,0.00126640795872971
1,2,nacs_uWave_tau,0.000393333333333333,0.00338379341050757,0.000768647149036992,0.000965890567532407
1,2,nacs_uWave_tau,0.000781666666666667,0.000356061954780132,0.000229982414700037,0.000469435845998196
1,2,nacs_uWave_tau,0.00117,0.00463045414069457,0.000900893924715779,0.00109470759482648
1,2,nacs_uWave_tau,0.00155833333333333,0.00480854853072128,0.00091821190145226,0.0011116327806092
1,2,nacs_uWave_tau,0.00194666666666667,0.00498575498575499,0.000935037805614051,0.00112804954182633
1,2,nacs_uWave_tau,0.002335,0.00427502671891699,0.000865355857745677,0.00106004974791097
1,2,nacs_uWave_tau,0.00272333333333333,0.00338319088319088,0.000768510419601142,0.00096571895376741
1,2,nacs_uWave_tau,0.00311166666666667,0.00445156695156695,0.000883073932329558,0.0010772655391503
1,2,nacs_uWave_tau,0.0035,0.00356252226576416,0.000789056466060453,0.000985751134110853
