value,00,01,10,11,trials
0.05,9,43,20,5,77
0.275,7,65,2,3,77
0.5,4,52,10,9,75
0.725,4,26,45,1,76
0.95,6,18,61,3,88
1.175,7,17,40,2,66
1.4,5,46,30,3,84
