axisValue,mean,errorLower,errorUpper
1,0.988095238095238,0.0268419068437371,0.0098503568234154
0,0,0,0.0211800969624603
0,0,0,0.0204735207720593
0.25,0.958904109589041,0.038364019688647,0.0222835485646669
5,0.478939157566303,0.0143198229197213,0.0143535823690021
0,0.198581560283688,0.0346897211471121,0.0393950882206601
0.261799387799149,0.183908045977011,0.042973078506034,0.051182548742752
0.785398163397448,0.031496062992126,0.0150138823326658,0.024203182055334
1.30899693899575,0.119402985074627,0.0402403274813577,0.053602505445127
1.83259571459405,0.329787234042553,0.0515216339445101,0.0555127207701769
2.35619449019234,0.384057971014493,0.043946189480257,0.0457650982179386
2.87979326579064,0.298507462686567,0.0595141536491909,0.0662646885200533
