axisValue,mean,errorLower,errorUpper
0,0,0,0
0.2,0.041791657,0.002089583,0.002089583
0.4,0.161937424,0.008096871,0.008096871
0.6,0.337694508,0.016884725,0.016884725
0.8,0.544785008,0.02723925,0.02723925
1,0.736094626,0.036804731,0.036804731
1.2,0.891271036,0.044563552,0.044563552
1.4,0.971941646,0.048597082,0.048597082
1.6,0.965045834,0.048252292,0.048252292
1.8,0.878691738,0.043934587,0.043934587
2,0.723100539,0.036155027,0.036155027
2.2,0.529706931,0.026485347,0.026485347
2.4,0.332819631,0.016640982,0.016640982
2.6,0.156368179,0.007818409,0.007818409
2.8,0.045982435,0.002299122,0.002299122
3,0.009278554,0.000463928,0.000463928
3.2,0.058076524,0.002903826,0.002903826
3.4,0.181872226,0.009093611,0.009093611
3.6,0.355285264,0.017764263,0.017764263
3.8,0.552959265,0.027647963,0.027647963
4,0.739834238,0.036991712,0.036991712
4.2,0.875288608,0.04376443,0.04376443
4.4,0.945448101,0.047272405,0.047272405
4.6,0.933646049,0.046682302,0.046682302
4.8,0.842539293,0.042126965,0.042126965
5,0.69961777,0.034980889,0.034980889
5.2,0.506715526,0.025335776,0.025335776
5.4,0.324216843,0.016210842,0.016210842
5.6,0.160291265,0.008014563,0.008014563
5.8,0.062063426,0.003103171,0.003103171
6,0.036209484,0.001810474,0.001810474
6.2,0.091189337,0.004559467,0.004559467
6.4,0.213437472,0.010671874,0.010671874
6.6,0.388881592,0.01944408,0.01944408
6.8,0.568507459,0.028425373,0.028425373
7,0.74308719,0.03715436,0.03715436
7.2,0.862815505,0.043140775,0.043140775
7.4,0.922651152,0.046132558,0.046132558
7.6,0.908953978,0.045447699,0.045447699
7.8,0.812747614,0.040637381,0.040637381
8,0.667789774,0.033389489,0.033389489
8.2,0.486542781,0.024327139,0.024327139
8.4,0.3105859,0.015529295,0.015529295
8.6,0.175189254,0.008759463,0.008759463
8.8,0.088101061,0.004405053,0.004405053
9,0.080604351,0.004030218,0.004030218
9.2,0.139361089,0.006968054,0.006968054
9.4,0.256647455,0.012832373,0.012832373
9.6,0.418314342,0.020915717,0.020915717
9.8,0.586618221,0.029330911,0.029330911
10,0.73638311,0.036819156,0.036819156
10.2,0.845679366,0.042283968,0.042283968
10.4,0.876001586,0.043800079,0.043800079
10.6,0.849062042,0.042453102,0.042453102
10.8,0.751306503,0.037565325,0.037565325
11,0.610755479,0.030537774,0.030537774
11.2,0.462468053,0.023123403,0.023123403
11.4,0.302257522,0.015112876,0.015112876
11.6,0.195819213,0.009790961,0.009790961
11.8,0.125110642,0.006255532,0.006255532
12,0.131741133,0.006587057,0.006587057
12.2,0.195749253,0.009787463,0.009787463
12.4,0.317353608,0.01586768,0.01586768
12.6,0.456598477,0.022829924,0.022829924
12.8,0.613538024,0.030676901,0.030676901
13,0.723584929,0.036179246,0.036179246
13.2,0.811422775,0.040571139,0.040571139
13.4,0.827111961,0.041355598,0.041355598
13.6,0.788614883,0.039430744,0.039430744
13.8,0.703039531,0.035151977,0.035151977
14,0.565031498,0.028251575,0.028251575
14.2,0.430787884,0.021539394,0.021539394
14.4,0.297661271,0.014883064,0.014883064
14.6,0.207876186,0.010393809,0.010393809
14.8,0.17063461,0.008531731,0.008531731
15,0.187853291,0.009392665,0.009392665
15.2,0.257335412,0.012866771,0.012866771
15.4,0.371600202,0.01858001,0.01858001
15.6,0.494758919,0.024737946,0.024737946
15.8,0.627053768,0.031352688,0.031352688
16,0.724399628,0.036219981,0.036219981
16.2,0.777965888,0.038898294,0.038898294
16.4,0.783974333,0.039198717,0.039198717
16.6,0.723952327,0.036197616,0.036197616
16.8,0.634314068,0.031715703,0.031715703
17,0.516203171,0.025810159,0.025810159
17.2,0.392427406,0.01962137,0.01962137
17.4,0.300402903,0.015020145,0.015020145
17.6,0.22618593,0.011309297,0.011309297
17.8,0.218292917,0.010914646,0.010914646
18,0.245964203,0.01229821,0.01229821
18.2,0.327053285,0.016352664,0.016352664
18.4,0.428547878,0.021427394,0.021427394
18.6,0.546774783,0.027338739,0.027338739
18.8,0.63802848,0.031901424,0.031901424
19,0.718356292,0.035917815,0.035917815
19.2,0.734096507,0.036704825,0.036704825
19.4,0.724908725,0.036245436,0.036245436
19.6,0.66137386,0.033068693,0.033068693
19.8,0.568848933,0.028442447,0.028442447
20,0.472115269,0.023605763,0.023605763
20.2,0.36332622,0.018166311,0.018166311
20.4,0.298960071,0.014948004,0.014948004
20.6,0.253197924,0.012659896,0.012659896
20.8,0.264321007,0.01321605,0.01321605
21,0.30469441,0.015234721,0.015234721
21.2,0.388438761,0.019421938,0.019421938
21.4,0.47465106,0.023732553,0.023732553
21.6,0.580677128,0.029033856,0.029033856
21.8,0.647000804,0.03235004,0.03235004
22,0.702134107,0.035106705,0.035106705
