axisValue,mean,errorLower,errorUpper
0,1,0.05,0.05
0.2,0.9020561,0.045102805,0.045102805
0.4,0.835392954,0.041769648,0.041769648
0.6,0.62340245,0.031170123,0.031170123
0.8,0.438570383,0.021928519,0.021928519
1,0.239658763,0.011982938,0.011982938
1.2,0.088569694,0.004428485,0.004428485
1.4,0.012541561,0.000627078,0.000627078
1.6,0.015669755,0.000783488,0.000783488
1.8,0.101101035,0.005055052,0.005055052
2,0.247600142,0.012380007,0.012380007
2.2,0.457823981,0.022891199,0.022891199
2.4,0.625932553,0.031296628,0.031296628
2.6,0.839884826,0.041994241,0.041994241
2.8,0.905367717,0.045268386,0.045268386
3,0.986010409,0.04930052,0.04930052
3.2,0.914373083,0.045718654,0.045718654
3.4,0.798242764,0.039912138,0.039912138
3.6,0.631110078,0.031555504,0.031555504
3.8,0.414500506,0.020725025,0.020725025
4,0.246661357,0.012333068,0.012333068
4.2,0.094663673,0.004733184,0.004733184
4.4,0.028899862,0.001444993,0.001444993
4.6,0.036346136,0.001817307,0.001817307
4.8,0.131727072,0.006586354,0.006586354
5,0.27186612,0.013593306,0.013593306
5.2,0.476672942,0.023833647,0.023833647
5.4,0.647132924,0.032356646,0.032356646
5.6,0.818984442,0.040949222,0.040949222
5.8,0.925815909,0.046290795,0.046290795
6,0.927766061,0.046388303,0.046388303
6.2,0.906461475,0.045323074,0.045323074
6.4,0.73821854,0.036910927,0.036910927
6.6,0.607136337,0.030356817,0.030356817
6.8,0.391608207,0.01958041,0.01958041
7,0.243419909,0.012170995,0.012170995
7.2,0.110016195,0.00550081,0.00550081
7.4,0.058314789,0.002915739,0.002915739
7.6,0.073758777,0.003687939,0.003687939
7.8,0.169240281,0.008462014,0.008462014
8,0.314803437,0.015740172,0.015740172
8.2,0.486168951,0.024308448,0.024308448
8.4,0.67830052,0.033915026,0.033915026
8.6,0.784807743,0.039240387,0.039240387
8.8,0.907448091,0.045372405,0.045372405
9,0.871960015,0.043598001,0.043598001
9.2,0.857494875,0.042874744,0.042874744
9.4,0.707159808,0.03535799,0.03535799
9.6,0.569418891,0.028470945,0.028470945
9.8,0.392206371,0.019610319,0.019610319
10,0.238239339,0.011911967,0.011911967
10.2,0.139239038,0.006961952,0.006961952
10.4,0.094812949,0.004740647,0.004740647
10.6,0.131048904,0.006552445,0.006552445
10.8,0.217580771,0.010879039,0.010879039
11,0.369916998,0.01849585,0.01849585
11.2,0.506344011,0.025317201,0.025317201
11.4,0.684442016,0.034222101,0.034222101
11.6,0.774097876,0.038704894,0.038704894
11.8,0.861257198,0.04306286,0.04306286
12,0.848468351,0.042423418,0.042423418
12.2,0.77639963,0.038819982,0.038819982
12.4,0.673784399,0.03368922,0.03368922
12.6,0.500722985,0.025036149,0.025036149
12.8,0.379899948,0.018994997,0.018994997
13,0.234732519,0.011736626,0.011736626
13.2,0.175187368,0.008759368,0.008759368
13.4,0.140905946,0.007045297,0.007045297
13.6,0.193852556,0.009692628,0.009692628
13.8,0.273591595,0.01367958,0.01367958
14,0.415864325,0.020793216,0.020793216
14.2,0.548015564,0.027400778,0.027400778
14.4,0.675906468,0.033795323,0.033795323
14.6,0.77712795,0.038856398,0.038856398
14.8,0.788422534,0.039421127,0.039421127
15,0.805133014,0.040256651,0.040256651
15.2,0.69330037,0.034665019,0.034665019
15.4,0.624104145,0.031205207,0.031205207
15.6,0.463803424,0.023190171,0.023190171
15.8,0.362865708,0.018143285,0.018143285
16,0.247909629,0.012395481,0.012395481
16.2,0.204132786,0.010206639,0.010206639
16.4,0.196394065,0.009819703,0.009819703
16.6,0.251378267,0.012568913,0.012568913
16.8,0.345989216,0.017299461,0.017299461
17,0.45249012,0.022624506,0.022624506
17.2,0.590811391,0.02954057,0.02954057
17.4,0.662767602,0.03313838,0.03313838
17.6,0.761924433,0.038096222,0.038096222
17.8,0.746425028,0.037321251,0.037321251
18,0.743133586,0.037156679,0.037156679
18.2,0.647656468,0.032382823,0.032382823
18.4,0.552473648,0.027623682,0.027623682
18.6,0.437245834,0.021862292,0.021862292
18.8,0.332210479,0.016610524,0.016610524
19,0.268859775,0.013442989,0.013442989
19.2,0.230196794,0.01150984,0.01150984
19.4,0.259483628,0.012974181,0.012974181
19.6,0.304146712,0.015207336,0.015207336
19.8,0.414898463,0.020744923,0.020744923
20,0.499431032,0.024971552,0.024971552
20.2,0.619955869,0.030997793,0.030997793
20.4,0.680348702,0.034017435,0.034017435
20.6,0.72554895,0.036277448,0.036277448
20.8,0.722724759,0.036136238,0.036136238
21,0.662499084,0.033124954,0.033124954
21.2,0.603342739,0.030167137,0.030167137
21.4,0.482765491,0.024138275,0.024138275
21.6,0.411817362,0.020590868,0.020590868
21.8,0.310757079,0.015537854,0.015537854
22,0.286745714,0.014337286,0.014337286
