groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.000923334006955286
1,1,nacs_highfield1_detunedARP_b_back,1,0.0150602409638554,0.00272042461417991,0.00325204809649347
1,2,nacs_uWave_tau,5e-06,0,0,0.000923797313873014
1,2,nacs_uWave_tau,0.00075,0.0130391173520562,0.0025299266888052,0.0030665188895471
1,2,nacs_uWave_tau,0.0015,0.00250878073256397,0.00108323990228745,0.00169364084126709
1,2,nacs_uWave_tau,0.003,0.00301053687907677,0.00119353463114127,0.00179382632764472
1,2,nacs_uWave_tau,0.003375,0.00702458605117913,0.00185126881383004,0.00241226419689288
1,2,nacs_uWave_tau,0.00375,0.00602107375815354,0.00171104511136971,0.00227845304541621
1,2,nacs_uWave_tau,0.004125,0.00752634219769192,0.0019174604762415,0.00247565935524532
1,2,nacs_uWave_tau,0.0045,0.00752634219769192,0.0019174604762415,0.00247565935524532
