time,p0,p1
7.219999999999999e-5,0.05627880485724495,0.9437211951427
7.379999999999999e-5,0.07441355364702566,0.9255864463529191
7.54e-5,0.05535199511179955,0.9446480048881452
7.7e-5,0.11240963233006152,0.8875903676698833
7.859999999999999e-5,0.1055231813364054,0.8944768186635395
8.02e-5,0.12018258844665491,0.8798174115532896
8.18e-5,0.2604361788904717,0.7395638211094729
8.340000000000001e-5,0.19096608264838527,0.809033917351559
8.499999999999999e-5,0.4072596322882562,0.5927403677116886
8.659999999999999e-5,0.5003409977788477,0.49965900222109694
8.82e-5,0.4959957384698255,0.5040042615301193
8.979999999999999e-5,0.49179189249452576,0.5082081075054191
9.14e-5,0.29959087960606307,0.7004091203938813
9.3e-5,0.26105103931507134,0.7389489606848731
9.46e-5,0.27811998670602567,0.7218800132939189
9.62e-5,0.11298147523276328,0.8870185247671815
9.779999999999999e-5,0.1755782450454493,0.824421754954495
9.94e-5,0.13245370299698006,0.8675462970029643
0.000101,0.08386917842791122,0.9161308215720333
0.00010259999999999999,0.1294534443531246,0.8705465556468198
0.0001042,0.0740893178179571,0.9259106821819874
