time,p0,p1
9.999999999999999e-6,0.0003555226316403379,0.999644477368359
4.0625e-5,0.0013207756707743405,0.9986792243292245
7.125e-5,0.003857589779857682,0.9961424102201408
0.000101875,0.008115146702991856,0.9918848532970066
0.0001325,0.012905191438959763,0.9870948085610379
0.000163125,0.016245434376308127,0.9837545656236893
0.00019375,0.01661784887499384,0.9833821511250039
0.000224375,0.013964579567820165,0.9860354204321777
0.00025499999999999996,0.009709920130518522,0.9902900798694791
0.00028562499999999996,0.005805905068386582,0.9941940949316094
0.00031624999999999996,0.0035000465107549498,0.9964999534892407
0.00034687499999999996,0.0027693414634131063,0.9972306585365827
0.00037749999999999996,0.0028170686590360174,0.9971829313409599
0.00040812499999999996,0.003095679640168649,0.9969043203598273
0.00043874999999999996,0.0038998779497330747,0.9961001220502625
0.00046937499999999996,0.006011955401674715,0.9939880445983214
0.0005,0.009735764627170173,0.9902642353728259
