groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.000923334006955286
1,1,nacs_highfield1_detunedARP_b_back,1,0,0,0.000923797313873014
1,2,nacs_uWave_tau,5e-06,0.0135542168674699,0.00258079526380444,0.00311646776926222
1,2,nacs_uWave_tau,0.00075,0.00100300902708124,0.000647832385737883,0.001321385695053
1,2,nacs_uWave_tau,0.0015,0.0095333667837431,0.00216158095681382,0.00271046040177858
1,2,nacs_uWave_tau,0.003,0.00451580531861515,0.00147544053543764,0.00205557644887696
1,2,nacs_uWave_tau,0.003375,0.00551931761164074,0.00163634282831045,0.00220748618272676
1,2,nacs_uWave_tau,0.00375,0.00652282990466633,0.00178256436260384,0.00234661218959491
1,2,nacs_uWave_tau,0.004125,0.00401404917210236,0.00138791154176844,0.00197360520656638
1,2,nacs_uWave_tau,0.0045,0.00451580531861515,0.00147544053543764,0.00205557644887696
