groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.000923334006955286
1,1,nacs_highfield1_detunedARP_b_back,1,0,0,0.000923797313873014
1,2,nacs_uWave_tau,5e-06,0.00100401606425703,0.000648482793716463,0.00132271084205351
1,2,nacs_uWave_tau,0.00075,0.00250752256770311,0.0010826968608361,0.00169279326160744
1,2,nacs_uWave_tau,0.0015,0.000501756146512795,0.000415082765707369,0.00115286839632935
1,2,nacs_uWave_tau,0.003,0.00100351229302559,0.000648157426560582,0.00132204793648995
1,2,nacs_uWave_tau,0.003375,0.00200702458605118,0.00096030523768101,0.00158411048127335
1,2,nacs_uWave_tau,0.00375,0.00200702458605118,0.00096030523768101,0.00158411048127335
1,2,nacs_uWave_tau,0.004125,0.00100351229302559,0.000648157426560582,0.00132204793648995
1,2,nacs_uWave_tau,0.0045,0.00150526843953838,0.000819121712881769,0.00146207242432918
