time,p0,p1
7.219999999999999e-5,0.07752509713095987,0.9224749028689806
7.379999999999999e-5,0.10860744138918749,0.891392558610753
7.54e-5,0.09582963813734341,0.9041703618625968
7.7e-5,0.1371997521279247,0.8628002478720155
7.859999999999999e-5,0.16884729441488985,0.83115270558505
8.02e-5,0.156126379534893,0.8438736204650472
8.18e-5,0.2862595191618971,0.7137404808380423
8.340000000000001e-5,0.2898747557770102,0.7101252442229296
8.499999999999999e-5,0.3655268039003585,0.6344731960995812
8.659999999999999e-5,0.4921387848643716,0.5078612151355683
8.82e-5,0.4889395568355805,0.5110604431643594
8.979999999999999e-5,0.4933790109138916,0.5066209890860479
9.14e-5,0.4127557365637218,0.5872442634362177
9.3e-5,0.3045473280179682,0.6954526719819708
9.46e-5,0.35198226046801323,0.6480177395319258
9.62e-5,0.21450126621847193,0.7854987337814667
9.779999999999999e-5,0.20454876640786063,0.7954512335920779
9.94e-5,0.21258349880441058,0.787416501195528
0.000101,0.13162556666115593,0.8683744333387824
0.00010259999999999999,0.1633779457967031,0.8366220542032353
0.0001042,0.1356523940781548,0.8643476059217836
