value,00,01,10,11,trials
0.06,0,0,1,62,63
1.22,35,10,0,19,64
2.38,40,14,4,17,75
3.54,12,0,2,69,83
4.7,22,16,4,32,74
5.86,48,20,5,19,92
7.02,15,5,1,48,69
8.18,19,9,1,61,90
9.34,33,16,6,21,76
10.5,30,5,9,31,75
