value,0,1,trials
10,1,642,643
40.625,1,595,596
71.25,2,630,632
101.875,7,569,576
132.5,5,589,594
163.125,14,617,631
193.75,11,603,614
224.375,8,581,589
255,12,604,616
285.625,3,588,591
316.25,3,647,650
346.875,1,589,590
377.5,1,676,677
408.125,0,627,627
438.75,3,638,641
469.375,5,603,608
500,7,602,609
