time,p0,p1
7.219999999999999e-5,0.07798528684821576,0.9220147131517242
7.379999999999999e-5,0.10010216734629479,0.8998978326536446
7.54e-5,0.08923077997750278,0.9107692200224367
7.7e-5,0.1419655006819761,0.8580344993179634
7.859999999999999e-5,0.15143439176778722,0.848565608232152
8.02e-5,0.1705866818187492,0.82941331818119
8.18e-5,0.2925263316190547,0.7074736683808845
8.340000000000001e-5,0.28079883707769226,0.7192011629222468
8.499999999999999e-5,0.4046507835332671,0.5953492164666723
8.659999999999999e-5,0.49576435745907094,0.5042356425408687
8.82e-5,0.4962902836796846,0.5037097163202556
8.979999999999999e-5,0.48615639976154884,0.5138436002383908
9.14e-5,0.3624778511461939,0.637522148853745
9.3e-5,0.31718686142838226,0.6828131385715563
9.46e-5,0.31358464377426565,0.6864153562256727
9.62e-5,0.18362671640155664,0.8163732835983813
9.779999999999999e-5,0.2092698781613413,0.7907301218385967
9.94e-5,0.17557155505689515,0.8244284449430427
0.000101,0.12446592319388977,0.875534076806048
0.00010259999999999999,0.15509579111139765,0.8449042088885399
0.0001042,0.11010746830187762,0.8898925316980597
