axisValue,mean,errorLower,errorUpper,nGroups
0.000368,0.031001,0.019,0.027,1
0.001104,1e-06,0,0.02,3
0.001472,1e-06,0,0.02,4
0.00184,1e-06,0,0.02,5
0.002944,0.015001,0.014,0.021,8
0.00736,0.046001,0.027,0.029,20
0.008832,0.031001,0.019,0.027,24
0.00368,0.046001,0.018,0.016,10
0.004416,0.052001,0.019,0.017,12
0.004784,0.063001,0.021,0.019,13
0.005152,0.069001,0.023,0.019,14
0.005888,0.063001,0.021,0.019,16
0.008096,0.023001,0.011,0.013,22
0.008464,0.052001,0.019,0.017,23
0.009568,0.063001,0.021,0.019,26
