axisValue,mean,errorLower,errorUpper,nGroups
0.000368,0.519001,0.0970000000000001,0.091,1
0.001104,0.122001,0.041,0.048,3
0.001472,0.031001,0.019,0.027,4
0.00184,0.168001,0.054,0.051,5
0.002944,0.321001,0.069,0.076,8
0.00736,0.275001,0.065,0.069,20
0.008832,0.214001,0.058,0.06,24
0.00368,0.224001,0.04,0.037,10
0.004416,0.212001,0.039,0.036,12
0.004784,0.246001,0.039,0.042,13
0.005152,0.286001,0.047,0.042,14
0.005888,0.241001,0.039,0.041,16
0.008096,0.224001,0.04,0.037,22
0.008464,0.161001,0.031,0.033,23
0.009568,0.247001,0.045,0.037,26
