axisValue,mean,errorLower,errorUpper,nGroups
0.000368,1e-06,0,0.02,1
0.001104,0.031001,0.019,0.027,3
0.001472,1e-06,0,0.02,4
0.00184,0.015001,0.014,0.021,5
0.002944,0.015001,0.014,0.021,8
0.00736,0.122001,0.042,0.047,20
0.008832,0.031001,0.019,0.027,24
0.00368,0.023001,0.011,0.013,10
0.004416,0.046001,0.018,0.016,12
0.004784,0.017001,0.01,0.011,13
0.005152,0.023001,0.011,0.013,14
0.005888,0.023001,0.011,0.013,16
0.008096,0.034001,0.016,0.014,22
0.008464,0.052001,0.019,0.017,23
0.009568,0.052001,0.019,0.017,26
