tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.2500249651100895,0.2499784037877196,0.2499784037877197,0.2499959636749081
0.000101,0.013283581676255067,1.7563602762122897e-6,1.7563602762117025e-6,0.9862689894568106
0.000201,0.0528994468579416,3.3614135181017035e-6,3.3614135181005363e-6,0.9462032546305776
0.000301,0.11668309662792262,6.804254619095392e-6,6.804254619093572e-6,0.881973413407016
0.000401,0.20114467569466474,1.1684088605697446e-5,1.1684088605694942e-5,0.7970621959754022
0.000501,0.30165831409316746,1.7203644900901057e-5,1.720364490089876e-5,0.6960897335105827
0.000601,0.41277649483630335,2.3003670671666833e-5,2.300367067166329e-5,0.5845134475042059
0.000701,0.5284406482153754,2.970373510030312e-5,2.9703735100295708e-5,0.46839015026056285
0.000801,0.6423776359600212,3.5945660802343436e-5,3.594566080232571e-5,0.35399850487118667
0.000901,0.7484032778962811,4.172036474953577e-5,4.1720364749518567e-5,0.24751949009781818
0.001001,0.840761122143913,4.669678295955384e-5,4.669678295953656e-5,0.15471036324952897
0.001101,0.9144578984472919,5.1440139693038355e-5,5.144013969303013e-5,0.08056317033908116
0.001201,0.9654856659861435,5.3393537632808575e-5,5.339353763280522e-5,0.029089930479353456
0.001301,0.9911066434180308,5.5440972736466284e-5,5.544097273646955e-5,0.0030285817052628553
0.001401,0.9899319901090312,5.541601178169256e-5,5.541601178171205e-5,0.0037642034998318346
0.001501,0.962032035233842,5.3491699667894395e-5,5.349169966792575e-5,0.03122632095521277
0.001601,0.9089477657587645,5.099216783694692e-5,5.0992167836986065e-5,0.08387215093438155
0.001701,0.8335536281956221,4.68964947968084e-5,4.689649479685165e-5,0.1588327011937759
0.001801,0.739951633540035,4.145902653912682e-5,4.145902653916627e-5,0.252006877414263
0.001901,0.6332109729831048,3.576948795963504e-5,3.576948795965318e-5,0.35831417706710217
0.002001,0.5191125463014775,2.9553230907415523e-5,2.9553230907421852e-5,0.4719845724677321
0.002101,0.4038398275884042,2.30428824989189e-5,2.3042882498911368e-5,0.5868305845474562
0.002201,0.29361934310281784,1.6832289242283967e-5,1.68322892422697e-5,0.6966260059926747
0.002301,0.1944185250370094,1.1800193258263427e-5,1.1800193258243808e-5,0.7953981264164637
0.002401,0.1115818864201701,6.735352554949256e-6,6.7353525549317985e-6,0.8778024221326869
0.002501,0.04957759730751731,3.2963684422911163e-6,3.2963684422794794e-6,0.9393663807092953
0.002601,0.011738511331615237,1.661418391797457e-6,1.6614183917918322e-6,0.9767664295816457
0.002701,6.61192517467548e-5,3.1910514974017205e-7,3.191051497403531e-7,0.988006203390172
0.002801,0.015172822787134313,1.4391444217260485e-6,1.4391444217279228e-6,0.9724616458116552
0.002901,0.05619437327179444,3.7802050670569847e-6,3.780205067056134e-6,0.9309968056057144
0.003001,0.12087106687031174,7.065527030982162e-6,7.065527030976947e-6,0.8658683551895845
0.003101,0.20567627320736037,1.1712506988048646e-5,1.1712506988044739e-5,0.7806128516125862
0.003201,0.3059800658265656,1.7604909316602843e-5,1.7604909316602372e-5,0.6798619253779066
0.003301,0.41632456114710936,2.3240874637301273e-5,2.324087463729613e-5,0.5690681070987106
0.003401,0.530712167332087,2.9680264214666923e-5,2.9680264214659524e-5,0.45423295875482556
0.003501,0.6429192161866684,3.6006468977312775e-5,3.6006468977298165e-5,0.34157438519938027
0.003601,0.7468631856553638,4.172419796918424e-5,4.172419796917009e-5,0.23718330685661526
0.003701,0.8369011311611231,4.638460517857342e-5,4.638460517855439e-5,0.14670114609027757
0.003801,0.9081588042280824,5.101992360299678e-5,5.101992360297552e-5,0.07499325872589012
0.003901,0.9567821101120435,5.316039434242466e-5,5.316039434241724e-5,0.02593100347687236
0.004001,0.9801459501087361,5.459333812184643e-5,5.459333812184677e-5,0.002131345352859851
0.004101,0.9769988649855276,5.4661446967095453e-5,5.4661446967109216e-5,0.004845386432405508
0.004201,0.9475041769572904,5.302008955077815e-5,5.302008955080451e-5,0.03390392085915587
0.004301,0.8932824174456678,4.967770987933319e-5,4.967770987936171e-5,0.08768535849267914
0.004401,0.8172864723305441,4.626642578137612e-5,4.626642578139594e-5,0.1632477129013393
0.004501,0.7236368071590736,4.048970750928213e-5,4.048970750929951e-5,0.25647378916547353
0.004601,0.6174169185614881,3.4862303664280495e-5,3.486230366429222e-5,0.3622688792854156
0.004701,0.5043745579263932,2.86804520985968e-5,2.8680452098598822e-5,0.4748893776336222
0.004801,0.39063771145482756,2.2470468915053454e-5,2.2470468915045143e-5,0.5882028630023745
0.004901,0.2823514991026489,1.6042592054804864e-5,1.6042592054792592e-5,0.6960683637558982
0.005001,0.18536881727522644,1.1232356240479961e-5,1.1232356240464448e-5,0.7926287467565805
0.005101,0.10492467706310528,6.491792301805833e-6,6.491792301793439e-6,0.8726470947624098
0.005201,0.045339430946112806,3.0734943314503418e-6,3.073494331442296e-6,0.9318071846849332
0.005301,0.009826270232081095,1.2131724290398562e-6,1.2131724290365545e-6,0.9668931980537022
0.005401,0.0002671633158458108,8.88656355189777e-7,8.886563551902147e-7,0.9760204728946611
0.005501,0.017143818084781007,9.82661356219084e-7,9.82661356220415e-7,0.9587050940120936
0.005601,0.05952618510094848,4.1886760645925375e-6,4.1886760645889e-6,0.9158716726576145
