tWaits,Expect_P00,Expect_P01,Expect_P10,Expect_P11
1.0e-6,0.2500213512899582,0.2499784232366407,0.2499784232366406,0.24999628811154653
0.000101,0.012554293040656363,1.3985038862000914e-6,1.3985038861995757e-6,0.9869613112030078
0.000201,0.05002408803990448,3.0586652435652148e-6,3.058665243564184e-6,0.9490072620653128
0.000301,0.1104426735051095,6.006792402568796e-6,6.006792402565174e-6,0.8881006597369292
0.000401,0.19068515907153838,1.0460822729067316e-5,1.0460822729065037e-5,0.8073850348022124
0.000501,0.2866087518021091,1.5350480117295727e-5,1.5350480117298647e-5,0.7109622630697863
0.000601,0.3933170263289164,2.0617250153930664e-5,2.0617250153940134e-5,0.6037651203663927
0.000701,0.5052975866734642,2.6783068527300033e-5,2.6783068527317346e-5,0.49127590313198055
0.000801,0.6168113502086895,3.2541635601184754e-5,3.254163560120826e-5,0.37927114448383364
0.000901,0.722144533577162,3.786911776402845e-5,3.786911776405116e-5,0.27346091489677615
0.001001,0.8158974441001257,4.281771465374583e-5,4.281771465377737e-5,0.17921996807051507
0.001101,0.893298612252063,4.726113004405898e-5,4.7261130044091246e-5,0.10133961936155048
0.001201,0.9503340927918361,4.967006918912239e-5,4.9670069189152865e-5,0.0438098430711413
0.001301,0.9841056963418232,5.181026399458015e-5,5.181026399459009e-5,0.009546949498969181
0.001401,0.9929030738735326,5.239608917851659e-5,5.239608917850988e-5,0.00027010402939627465
0.001501,0.9763124872723141,5.106193659420342e-5,5.1061936594174115e-5,0.016400078495533918
0.001601,0.9351968763448506,4.941513090393156e-5,4.9415130903885666e-5,0.05704300820740285
0.001701,0.8716659376985626,4.6215647423399895e-5,4.6215647423342216e-5,0.12011386142841242
0.001801,0.7889388570482135,4.1524398309891076e-5,4.15243983098364e-5,0.20235641897807735
0.001901,0.691280565671207,3.6752838213364566e-5,3.6752838213324755e-5,0.2995408719608563
0.002001,0.5836907702908591,3.1126537014339796e-5,3.112653701430922e-5,0.40666294738778735
0.002101,0.4716894899345484,2.5105701432407645e-5,2.51057014323942e-5,0.5182030982383939
0.002201,0.36098059223430223,1.9428923612810718e-5,1.9428923612814096e-5,0.6284600481819119
0.002301,0.25720900244361183,1.4253832217190474e-5,1.4253832217205495e-5,0.7317649149077373
0.002401,0.16567094876048688,9.15598877024748e-6,9.155988770272844e-6,0.82283667338595
0.002501,0.09104170293394241,5.177662051794269e-6,5.177662051814837e-6,0.8969783395872076
0.002601,0.03712892481702692,2.8280360608157713e-6,2.828036060832156e-6,0.9504252648621745
0.002701,0.006622781539111944,5.906108748842512e-7,5.906108748906557e-7,0.9804583582986138
0.002801,0.001045294984528931,5.3511993572991e-7,5.351199357280192e-7,0.9855826402317533
0.002901,0.020640702824799025,1.7816270472531298e-6,1.7816270472459652e-6,0.9655038783932842
0.003001,0.06438316038513138,3.553445072341097e-6,3.553445072332272e-6,0.9212791276600296
0.003101,0.13002890021202335,7.170297136809403e-6,7.170297136807187e-6,0.8551369675673661
0.003201,0.21416672266217973,1.1770862097406135e-5,1.1770862097410846e-5,0.7705138647278899
0.003301,0.31245487200833166,1.6400545026736107e-5,1.640054502675333e-5,0.6717474823097463
0.003401,0.4198376486844254,2.2235451813359352e-5,2.2235451813387454e-5,0.5638933341831086
0.003501,0.5307931042108011,2.803056783310271e-5,2.8030567833137445e-5,0.4524534944383615
0.003601,0.6396424099208692,3.370141906065008e-5,3.370141906069355e-5,0.3431137363588956
0.003701,0.7407932522341456,3.877934827025625e-5,3.877934827030313e-5,0.24147505302662295
0.003801,0.8290490559035864,4.39224704913908e-5,4.3922470491423914e-5,0.15272120202090342
